id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
1,,0.872303,0.750000,0.693347,0.860000,0.300000,0.739198,0.720000,0.528634,0.583333,0.762004
2,,0.000000,0.720000,0.624381,0.840000,0.300000,0.746315,0.720000,0.360849,0.166667,0.140165
3,,0.000000,0.480000,0.079805,0.540000,0.300000,0.768571,0.750000,0.683011,0.416667,0.205884
4,,0.436151,0.000000,0.680811,0.800000,0.300000,0.714532,0.370000,0.000000,0.000000,0.000000
5,,0.000000,0.000000,0.600753,0.480000,0.300000,0.720816,0.480000,0.000000,0.000000,0.000000
6,,0.000000,0.540000,0.081048,0.540000,0.300000,0.784317,0.600000,0.455340,0.250000,0.403640
7,,0.000000,0.000000,0.073139,0.520000,0.300000,0.715017,0.000000,0.227670,0.166667,0.223984
8,,0.691284,0.750000,0.685364,0.860000,0.300000,0.736742,0.520000,0.639151,0.416667,0.301222
9,,0.872303,0.720000,0.699847,0.840000,0.300000,0.734994,0.720000,0.360849,0.250000,0.370481
10,,0.691284,0.000000,0.105889,0.520000,0.300000,0.712456,0.900000,0.756304,0.583333,0.458090
11,,0.000000,0.000000,0.659280,0.800000,0.300000,0.742536,0.600000,0.588519,0.416667,0.370481
12,,0.000000,0.000000,0.071373,0.760000,0.300000,0.769880,0.000000,0.528634,0.166667,0.331538
13,,0.000000,0.000000,0.606046,0.720000,0.300000,0.750433,0.290000,0.000000,0.000000,0.000000
14,,0.000000,0.000000,0.598347,0.520000,0.300000,0.756753,0.290000,0.000000,0.000000,0.000000
15,,0.000000,0.000000,0.603565,0.760000,0.300000,0.694408,0.000000,0.227670,0.083333,0.000000
16,,0.000000,0.000000,0.070000,0.520000,0.300000,0.464739,0.000000,0.000000,0.000000,0.000000
17,,0.000000,0.720000,0.627129,0.840000,0.300000,0.740383,0.330000,0.227670,0.083333,0.140165
18,,1.000000,0.330000,0.702569,0.820000,0.300000,0.728308,0.330000,0.639151,0.500000,0.814859
19,,0.000000,0.720000,0.619843,0.840000,0.300000,0.757449,0.330000,0.227670,0.083333,0.000000
20,,0.000000,0.720000,0.620433,0.840000,0.300000,0.755893,0.330000,0.227670,0.083333,0.000000
21,,0.000000,0.000000,0.073068,0.800000,0.300000,0.716541,0.000000,0.683011,0.416667,0.481077
22,,0.000000,0.000000,0.446974,0.480000,0.300000,0.742492,0.370000,0.000000,0.000000,0.000000
23,,0.806006,0.000000,0.123680,0.800000,0.300000,0.740220,0.600000,0.756304,0.666667,0.656245
24,,0.524094,0.000000,0.093732,0.480000,0.300000,0.739903,0.290000,0.000000,0.000000,0.000000
25,,0.000000,0.000000,0.720000,0.480000,0.300000,0.478820,0.290000,0.000000,0.000000,0.000000
26,,0.691284,0.000000,0.677188,0.800000,0.300000,0.730376,0.750000,0.639151,0.583333,0.762004
27,,0.000000,0.000000,0.134106,0.760000,0.300000,0.728441,0.750000,0.227670,0.166667,0.223984
28,,0.000000,0.000000,0.106656,0.800000,0.300000,0.735918,0.750000,0.816189,0.333333,0.611119
29,,1.000000,0.000000,0.653210,0.800000,0.300000,0.751225,0.750000,0.528634,0.250000,0.432461
30,,0.000000,0.000000,0.125109,0.800000,0.300000,0.723668,0.750000,0.455340,0.250000,0.331538
31,,0.000000,0.000000,0.430920,0.800000,0.300000,0.751189,0.290000,0.000000,0.000000,0.000000
32,,0.000000,0.000000,0.137949,0.800000,0.300000,0.713006,0.750000,0.360849,0.250000,0.223984
33,,1.000000,0.000000,0.721269,0.800000,0.300000,0.763180,0.440000,0.000000,0.000000,0.000000
34,,0.000000,0.000000,0.070000,0.800000,0.300000,0.705839,0.000000,0.588519,0.333333,0.370481
35,,0.000000,0.330000,0.077928,0.820000,0.300000,0.772441,0.600000,0.455340,0.166667,0.223984
36,,0.806006,0.000000,0.607100,0.800000,0.300000,0.778281,0.600000,0.455340,0.166667,0.538768
37,,1.000000,0.000000,0.448739,0.800000,0.300000,0.713882,0.560000,0.000000,0.000000,0.000000
38,,0.691284,0.330000,0.101565,0.540000,0.300000,0.732061,0.900000,0.787610,0.583333,0.666268
39,,1.000000,0.000000,0.498565,0.800000,0.300000,0.777539,0.720000,0.360849,0.250000,0.284318
40,,0.000000,0.000000,0.597037,0.800000,0.300000,0.743711,0.000000,0.588519,0.333333,0.555173
41,,1.000000,0.000000,0.499005,0.800000,0.300000,0.774213,0.720000,0.227670,0.083333,0.140165
42,,0.000000,0.000000,0.597088,0.800000,0.300000,0.742090,0.000000,0.683011,0.333333,0.584842
43,,0.872303,0.000000,0.088004,0.800000,0.300000,0.758236,0.750000,0.360849,0.000000,0.000000
44,,0.000000,0.000000,0.646990,0.800000,0.300000,0.730771,0.790000,0.360849,0.250000,0.223984
45,,1.000000,0.000000,0.205074,0.800000,0.300000,0.747851,0.600000,0.983974,0.583333,0.734181
46,,0.000000,0.000000,0.597651,0.800000,0.300000,0.726239,0.330000,0.528634,0.250000,0.370481
47,,0.000000,0.000000,0.099412,0.520000,0.300000,0.725663,0.750000,0.360849,0.250000,0.584842
48,,0.000000,0.000000,0.075071,0.480000,0.300000,0.729190,0.000000,0.588519,0.250000,0.538768
49,,0.000000,0.000000,0.070000,0.520000,0.300000,0.721927,0.000000,0.227670,0.333333,0.432461
50,,0.000000,0.000000,0.107957,0.800000,0.300000,0.754737,0.750000,0.639151,0.750000,0.675941
51,,0.000000,0.510000,0.081731,0.520000,0.300000,0.819344,0.560000,0.360849,0.000000,0.140165
