component,expert,RF_MDG,LASSO,grid,consensus,lite
S_ARG,0.21421421421421422,0.2946624911245763,0.2597603751153492,0.1577998146594099,0.2374075602997785,0.25279971060478257
S_VF,0.21421421421421422,0.11590186239368283,0.21061244447793492,0.05245191828798291,0.12632207505320023,0.13451207693689626
S_MOB,0.14314314314314314,0.22479269109569114,0.13565844140722957,0.20555246612113265,0.1886678662080178,0.20090001311492875
S_HOST,0.10710710710710711,0.030614833928518558,0.008503191917121814,0.05095108524967305,0.030023037031771144,0.0
S_REP,0.07107107107107107,0.009244379669790914,0.0036558492564538166,0.0,0.004300076308748243,0.0
S_SIZE,0.07107107107107107,0.07159750972009929,0.08038134807374665,0.3407447156818015,0.16424119115854915,0.17488965196322243
S_BM,0.07107107107107107,0.239335102556257,0.2855885986521685,0.14250000000000004,0.22247456706947522,0.23689854738016994
S_GEO,0.036036036036036036,0.004537703014935421,0.00997447903727327,0.0,0.004837394017402897,0.0
S_HAB,0.036036036036036036,0.0058817717197643,0.0019745523427999252,0.05,0.01928544135418808,0.0
S_GROW,0.036036036036036036,0.003431654776684159,0.003890719719922239,0.0,0.0024407914988687994,0.0
