replicon_primary,n_PSC,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BMG,S_GEO,S_HAB,S_GROW
Col440I,9158,0.0000,0.0000,0.0700,0.7600,0.5000,0.5460,0.0000,0.0000,0.0000,0.0000
IncFII,7543,0.0000,0.0000,0.4200,0.7600,0.9000,0.6312,0.0000,0.0000,0.0000,0.0000
IncI1,6209,0.0000,0.0000,0.0791,0.7400,0.9000,0.6683,0.2900,0.0000,0.0000,0.0000
IncFIB(AP001918),6046,0.0000,0.0000,0.1014,0.7600,0.9000,0.6354,0.2900,0.0000,0.0000,0.0000
IncX1,4620,0.0000,0.0000,0.4200,0.7200,0.9000,0.6855,0.3300,0.0000,0.0000,0.0000
Col156,4401,0.0000,0.0000,0.4200,0.7600,0.5000,0.5750,0.0000,0.0000,0.0000,0.0000
IncFIA,4125,0.0000,0.0000,0.0825,0.7600,0.9000,0.6582,0.2900,0.0000,0.0000,0.0000
IncFIB(K),3846,0.0000,0.0000,0.0920,0.8000,0.9000,0.6367,0.0000,0.0000,0.0000,0.0000
ColRNAI,3568,0.0000,0.0000,0.4496,0.8000,0.9000,0.6024,0.0000,0.0000,0.0000,0.0000
IncR,3469,0.0000,0.0000,0.0989,0.8000,0.9000,0.6406,0.2900,0.0000,0.0000,0.0000
IncFIC(FII),2383,0.0000,0.0000,0.4367,0.7400,0.9000,0.6353,0.0000,0.0000,0.0000,0.0000
Col(MG828),2339,0.0000,0.0000,0.0700,0.7600,0.5000,0.4979,0.0000,0.0000,0.0000,0.0000
IncX4,2242,0.0000,0.0000,0.4200,0.7600,0.9000,0.6859,0.3700,0.0000,0.0000,0.0000
IncFII(K),2131,0.0000,0.0000,0.1077,0.8000,0.9000,0.6399,0.0000,0.0000,0.0000,0.0000
IncFII(pCoo),2038,0.0000,0.0000,0.4289,0.7600,0.9000,0.6323,0.0000,0.0000,0.0000,0.0000
rep16/rep19,2035,0.4362,0.0000,0.1005,0.8000,0.3000,0.6331,0.3700,0.0000,0.0000,0.0000
IncQ1,2034,0.6913,0.0000,0.4200,0.7600,0.5000,0.6022,0.2900,0.0000,0.0000,0.0000
IncB/O/K/Z,1942,0.0000,0.0000,0.0767,0.7600,0.5000,0.6439,0.0000,0.0000,0.0000,0.0000
IncFII(pSE11),1903,0.0000,0.0000,0.4298,0.7600,0.9000,0.6262,0.0000,0.0000,0.0000,0.0000
rep7a,1676,0.0000,0.0000,0.4200,0.8000,0.3000,0.5570,0.0000,0.0000,0.0000,0.0000
rep20,1669,0.4362,0.0000,0.0920,0.8000,0.3000,0.6578,0.3700,0.0000,0.0000,0.0000
rep21,1575,0.0000,0.0000,0.0700,0.8000,0.3000,0.5285,0.0000,0.0000,0.0000,0.0000
IncFII(pRSB107),1553,0.0000,0.0000,0.5950,0.7600,0.9000,0.6432,0.0000,0.0000,0.0000,0.0000
IncFII(29),1493,0.0000,0.0000,0.4404,0.7600,0.9000,0.6407,0.0000,0.0000,0.0000,0.0000
IncN,1490,0.0000,0.0000,0.1399,0.7600,0.9000,0.6257,0.0000,0.0000,0.0000,0.0000
IncFII(pHN7A8),1484,0.0000,0.0000,0.5950,0.7600,0.9000,0.6336,0.0000,0.0000,0.0000,0.0000
IncFII(S),1435,0.0000,0.3300,0.4200,0.7600,0.9000,0.6717,0.2900,0.0000,0.0000,0.0000
IncI2,1257,0.0000,0.0000,0.0700,0.7600,0.9000,0.6822,0.0000,0.0000,0.0000,0.0000
rep16/rep5a,1255,0.4362,0.0000,0.4417,0.8000,0.3000,0.6593,0.3700,0.0000,0.0000,0.0000
IncFIA(HI1),1151,0.0000,0.0000,0.1122,0.8000,0.9000,0.6155,0.0000,0.0000,0.0000,0.0000
p0111,1099,0.0000,0.0000,0.0700,0.7600,0.3000,0.6588,0.0000,0.0000,0.0000,0.0000
IncFIB(pB171),1022,0.0000,0.0000,0.0958,0.7600,0.9000,0.6484,0.2900,0.0000,0.0000,0.0000
rep10,961,0.6913,0.0000,0.0700,0.8000,0.3000,0.5187,0.0000,0.0000,0.0000,0.0000
IncHI1B,954,0.0000,0.0000,0.0868,0.8000,0.9000,0.6040,0.0000,0.0000,0.0000,0.0000
