from,to,weight
rep16/rep19,Mph,1474
rep16/rep19,MsrA,1441
IncQ1,Sul,1419
IncQ1,AAC/APH,1389
Col440I,Qnr,1071
rep16/rep19,PC1 beta-lactamase (blaZ),1049
IncQ1,Tet(A),777
IncFII,AAC/APH,752
IncFII,TEM,718
IncI1,Tet(A),589
ColRNAI,AAC/APH,568
IncI1,Sul,502
IncFII(pSE11),TEM,480
rep16/rep19,AAC/APH,479
IncI1,CMY,434
IncI1,Aad,428
IncX1,TEM,424
rep16/rep19,SAT-4,401
IncI1,AAC/APH,375
IncI1,TEM,370
IncR,AAC/APH,343
IncFII,Sul,292
IncFII,Tet(A),290
IncI1,Qac,272
IncR,TEM,268
rep7a,Tet(K),267
rep7a,Mph,257
IncQ1,TEM,242
IncI1,CTX-M,226
IncQ1,Dfr,222
IncI1,Dfr,212
IncFII(pSE11),Mrx,206
IncFII(pSE11),Mph,204
IncI1,TetR,199
IncFIC(FII),TEM,196
IncFII(pSE11),Sul,194
IncI1,Tet(B),194
IncFII(pSE11),Dfr,191
IncFII(pSE11),Qac,191
IncFII(pSE11),Aad,190
IncR,Sul,185
IncX1,AAC/APH,169
IncX4,mcr,162
IncFII(pCoo),TEM,149
IncFII(K),KPC,137
IncR,Tet(A),135
IncX1,Tet(A),133
IncFII,Dfr,129
IncQ1,Qac,125
IncFII,Qac,123
IncR,Aad,122
IncQ1,Aad,119
IncFII,CTX-M,119
IncFII,Aad,117
IncFIC(FII),AAC/APH,115
ColRNAI,TEM,112
IncR,Qac,111
IncR,Qnr,104
IncFII(pCoo),Sul,99
Col440I,TEM,98
IncR,Dfr,92
IncX1,Sul,91
IncFII,TetR,90
IncFII,Tet(B),89
IncX1,Qnr,88
IncB/O/K/Z,TEM,86
IncFII(pCoo),AAC/APH,85
IncFII(pCoo),Tet(A),85
IncR,Mph,80
ColRNAI,KPC,79
IncFIC(FII),Sul,78
IncR,Mrx,75
IncFII(K),AAC/APH,67
IncFIA,TEM,64
IncFIC(FII),Tet(A),64
IncI1,Qnr,64
IncX1,Dfr,63
IncX1,Aad,59
Col440I,Tet(A),53
Col440I,AAC/APH,52
rep7a,Cat,52
IncB/O/K/Z,Sul,52
IncFIB(AP001918),TEM,52
IncB/O/K/Z,Tet(A),51
IncR,CTX-M,49
IncFII,Mph,48
IncB/O/K/Z,Qac,48
IncX4,CMY,47
IncFII,Mrx,46
IncX4,TEM,46
Col156,TEM,45
IncI1,Cml,45
IncFII(pSE11),Erm,45
IncFIB(AP001918),Sul,44
IncFII(K),TEM,42
IncFIB(AP001918),AAC/APH,39
IncB/O/K/Z,Aad,39
IncQ1,Mph,38
IncB/O/K/Z,AAC/APH,38
IncFIC(FII),Aad,37
IncFIB(AP001918),Aad,35
IncFIB(AP001918),Qac,35
IncR,OXA,35
IncFIB(K),Tet(A),34
IncB/O/K/Z,Dfr,34
IncQ1,Cat,33
IncI1,Mph,33
IncQ1,Erm,33
IncB/O/K/Z,CTX-M,32
IncFIC(FII),Qac,32
IncX1,CTX-M,31
IncFII(K),CTX-M,30
IncFIB(AP001918),Dfr,29
IncFII(pSE11),CTX-M,28
IncFIB(AP001918),CTX-M,28
Col440I,KPC,27
IncFII(pSE11),Tet(A),27
IncR,Cml,26
IncFIC(FII),Dfr,26
IncX1,Qac,26
rep7a,Spd,26
IncQ1,CMY,25
IncFII(pCoo),Dfr,25
Col156,OXA,25
IncR,TetR,24
IncR,Tet(B),24
IncFII(K),Sul,24
IncFII(pSE11),AAC/APH,23
IncFII(K),Aad,22
IncFIB(AP001918),Tet(A),22
IncFIB(AP001918),TetR,22
IncFIB(AP001918),Tet(B),22
IncFIB(K),Dfr,22
IncFIB(K),Sul,22
IncFIB(K),AAC/APH,22
rep16/rep19,FosY,22
ColRNAI,Sul,21
Col440I,CTX-M,21
IncFIB(K),CTX-M,21
IncX1,SAT-2,20
IncX4,CTX-M,20
IncX1,Cml,20
IncFIB(K),Qnr,20
IncFII(K),Qnr,20
IncI1,SAT-2,19
IncB/O/K/Z,Qnr,19
IncFII(K),Qac,19
IncFII(K),Tet(A),19
IncFII(K),Mrx,19
IncFII(K),Mph,19
IncFII(pCoo),Mph,18
Col440I,Sul,18
IncI1,Tet(C),18
IncI1,Mrx,18
IncFII(K),Cat,18
IncX4,SAT-2,17
IncFII(pCoo),Mrx,17
IncR,LAP-2,16
ColRNAI,CTX-M,16
IncFII(K),OXA,16
IncFIB(K),TEM,16
IncFIB(K),Aad,16
IncI1,SHV,16
ColRNAI,Aad,15
ColRNAI,Qac,15
IncFII(pCoo),Aad,15
IncFIB(K),Qac,15
IncQ1,Mrx,15
IncFIC(FII),Cml,15
rep7a,AAC/APH,14
IncX4,Dfr,14
IncFII(pCoo),Qac,14
IncFII,Qnr,14
Col156,CTX-M,14
Col440I,Aad,14
IncB/O/K/Z,Mph,14
IncB/O/K/Z,Mrx,14
IncR,Arr,14
IncFIA,Sul,13
IncFII,CMY,13
IncFII(pCoo),TetR,13
IncFII(pCoo),Tet(B),13
IncQ1,KPC,13
IncFII,Cml,13
IncFIB(AP001918),Mph,12
IncQ1,TetR,12
IncQ1,Tet(B),12
IncFII(K),NDM,12
IncFII(K),BRP(MBL),12
IncR,VIM,11
IncR,Cat,11
IncFIB(AP001918),Mrx,11
Col440I,Cat,11
IncFII(K),Dfr,11
Col440I,OXA,10
ColRNAI,Dfr,10
IncX1,Tet(M),10
IncFIC(FII),Cat,10
IncX4,AAC/APH,10
IncQ1,CTX-M,10
IncX4,Aad,10
IncR,KPC,9
IncFII,KPC,9
IncX1,OXA,9
IncX1,Arr,9
Col440I,Qac,9
IncFIA,CTX-M,9
IncI1,Cat,9
IncX4,LnuG,9
rep16/rep19,MecA,9
IncQ1,Flor,8
Col156,KPC,8
IncFIC(FII),Qnr,8
IncFIA,Cat,8
IncFII(pCoo),CMY,8
IncX1,Mrx,8
IncX1,Mph,8
IncFII(pCoo),Qnr,8
IncFII(K),Arr,8
ColRNAI,OXA,8
rep7a,MecA,8
rep16/rep19,Erm,8
rep7a,van,7
IncFIC(FII),Mph,7
IncFII,Cat,7
Col156,AAC/APH,7
IncFII(pCoo),Cml,7
IncR,LinG,7
Col440I,Dfr,7
IncFII,Erm,7
IncFII(pCoo),CTX-M,7
IncFIB(AP001918),Cml,7
ColRNAI,mcr,7
IncR,CARB-3,7
IncQ1,OXA,6
IncR,SHV,6
ColRNAI,Tet(A),6
IncFIC(FII),Mrx,6
IncB/O/K/Z,CMY,6
IncFIA,AAC/APH,6
IncFIA,Qac,6
IncFIB(K),Cml,6
IncI1,Tet(M),6
IncX1,mcr,6
IncFIC(FII),CTX-M,6
IncX1,Tet(X4),6
IncQ1,FosL1,6
IncI1,LinG,6
Col156,CMY,6
Col440I,Mph,6
IncR,mcr,5
rep7a,Erm,5
rep7a,SAT-4,5
IncFII,OXA,5
IncFIB(AP001918),Qnr,5
IncQ1,Tet(X4),5
IncX1,CMY,5
IncB/O/K/Z,Cml,5
IncFIA,Aad,5
IncFIA,Mph,5
ColRNAI,CMY,5
IncX1,LinG,5
IncFII(K),LAP-2,5
IncQ1,Qnr,5
rep7a,PC1 beta-lactamase (blaZ),5
rep7a,TEM,5
ColRNAI,Qnr,4
Col156,Sul,4
Col156,Qac,4
IncFIA,Tet(A),4
IncX1,Cat,4
IncFIB(AP001918),Cat,4
Col156,TetR,4
Col156,Tet(B),4
IncQ1,VEB-17,4
IncFIB(AP001918),CMY,4
IncB/O/K/Z,OXA,4
IncFII(pCoo),mcr,4
Col440I,Tet(C),4
IncR,CARB-53,4
IncQ1,GES-5,4
ColRNAI,Mph,4
ColRNAI,Mrx,4
IncR,NDM,3
IncR,BRP(MBL),3
IncFII(K),SHV,3
rep7a,Dfr,3
Col156,Aad,3
Col156,Mph,3
IncI1,OXA,3
IncFII,Tet(C),3
IncR,SAT-2,3
IncX4,Sul,3
IncX4,Qnr,3
IncFII,mcr,3
IncFIB(AP001918),EvgA,3
IncFII,Tet(M),3
IncQ1,LnuF,3
IncFIA,Mrx,3
IncB/O/K/Z,TetR,3
IncB/O/K/Z,Tet(B),3
IncFII,SHV,3
IncI1,HERA-3,3
IncFII(pSE11),TetR,3
IncFII(pSE11),Tet(B),3
Col440I,Tet(X4),3
IncFII,NDM,3
IncFII,SAT-2,3
IncX1,Flor,3
IncFII,RmtB,3
IncX1,OqxA,3
IncX1,OqxB,3
IncFIA,Tet(B),3
IncFIB(K),Cat,3
IncR,ArmA,3
IncFIB(K),Mph,3
IncFII(K),mcr,3
IncFIB(K),LAP-2,3
IncI1,Flor,3
rep7a,MecR1,3
Col440I,IMP,2
Col440I,GES-24,2
rep7a,Aad,2
Col156,Dfr,2
Col156,Mrx,2
IncX1,Erm,2
IncR,Erm,2
IncFIB(AP001918),EvgS,2
IncFII(pSE11),Qnr,2
IncR,Flor,2
IncFIB(AP001918),Tet(C),2
IncI1,CARB-3,2
IncB/O/K/Z,SHV,2
IncFIA,Dfr,2
IncI1,Mef,2
IncX1,Tet(B),2
IncX1,TetR,2
IncI1,Erm,2
IncFIB(AP001918),NDM,2
IncFIC(FII),TetR,2
IncFIC(FII),Tet(B),2
IncX1,FosA3,2
IncFII,Flor,2
IncI1,NDM,2
IncFIA,Erm,2
IncI1,Arr,2
IncFIA,NDM,2
IncFIA,BRP(MBL),2
IncFIB(AP001918),Ugd,2
IncFIC(FII),Mef,2
IncFIC(FII),Tet(M),2
IncFII(pSE11),Cat,2
Col440I,Arr,2
IncFIB(K),Mrx,2
IncR,Tet(D),2
IncFII(K),Tet(D),2
IncR,EreA2,2
IncFIB(K),OXA,2
IncFII(K),DHA,2
IncR,VEB-5,2
IncR,VEB-8,2
IncR,VEB-9,2
IncQ1,SAT-2,2
IncI1,LnuG,2
IncX4,Mph,2
IncX4,Mrx,2
Col440I,CMY,2
Col156,mcr,2
IncX4,FosA5,2
rep16/rep19,FosD,2
