arg_family,vf,both,n_arg,n_vf,odds_ratio,p,p_adj,enrichment
PC1 beta-lactamase (blaZ),SE,333,4447,422,108.95362152929,0,0,6.76757034102903
CMY,Colicin Ib,209,671,883,82.7308549548643,3.05179309959939e-283,4.07414378796518e-281,6.37035358617515
AAC/APH,Salmochelin siderophore,126,7122,338,9.94751331839328,2.06844608085516e-67,1.8409170119611e-65,3.3143359254965
AAC/APH,Colicin Ia,285,7122,1690,3.43859202222928,2.43032351601273e-60,1.62224094693849e-58,1.78181795493937
CMY,Colicin Ia,74,671,1690,9.36723014216927,4.3203633656992e-43,2.30707403728337e-41,3.22762251096784
Sul,Colicin Ib,101,3726,883,4.27255897265366,3.53821764594547e-30,1.57450685244573e-28,2.09510040505948
TetR,Colicin Ia,46,488,1690,7.74188647846061,2.12422976269448e-24,8.1024192377061e-23,2.95268515312717
Tet(B),Colicin Ia,45,484,1690,7.62107188523974,1.17587225515979e-23,3.92447365159579e-22,2.92999392354087
CMY,Colicin B,25,671,358,14.3450065724821,4.56636974180542e-20,1.35468969006894e-18,3.84247672399674
CTX-M,Colicin Ib,40,914,883,6.65929123636719,1.91954959387671e-19,5.12519741565082e-18,2.73536863612666
CTX-M,Colicin Ia,43,914,1690,3.65315463774334,4.61625364782992e-12,1.12049065815508e-10,1.86914282415807
MsrA,SE,27,2148,422,3.9279913674181,9.45069345784698e-09,2.10277929437095e-07,1.97379175903225
Tet(K),SE,12,445,422,8.35416778300861,5.75424213769465e-08,1.18183280828036e-06,3.06249611851671
Aad,Colicin Ib,35,1802,883,2.84441074652705,1.50070604803031e-07,2.86206082017209e-06,1.50812981207046
Dfr,Colicin Ib,29,1585,883,2.66215106875636,5.35993732546794e-06,9.54068843933292e-05,1.41259244200925
Mph,SE,27,3149,422,2.64655169502199,1.3893136344946e-05,0.000231841712756287,1.40411383437085
Tet(M),AS,6,699,94,12.1634064119494,1.64692149154297e-05,0.000258663551907043,3.60447541292968
TEM,Colicin Ib,53,4587,883,1.67609563911211,0.000450929146993702,0.00668878234707324,0.7451044725075
TEM,AAI/SCI-II T6SS,13,4587,132,2.8593360150149,0.00124205935442683,0.0170018532234404,1.51568016831138
TEM,Hbp (hemoglobin-binding protease),11,4587,101,3.19839167796172,0.00127354705793561,0.0170018532234404,1.67734662338735
Tet(A),Colicin Ib,34,2746,883,1.78427055188962,0.00153171909780606,0.0194747142435342,0.835334390076176
Qac,Colicin Ib,21,1502,883,2.00777963542575,0.00300008522758676,0.0364101252620756,1.00560093446574
Erm,AS,4,1859,94,2.93440980145224,0.0527906770841801,0.612830903542439,1.55307036291247
TEM,Colicin Ia,74,4587,1690,1.19959072061568,0.0754941261638992,0.839872153573379,0.262542267454742
TetR,Dispersin,2,488,118,4.39293035968968,0.0787540213762368,0.841092948298209,2.13518362883502
Dfr,AAI/SCI-II T6SS,4,1585,132,2.42569405720719,0.0890805597428306,0.908225050282809,1.27839760075369
Tet(B),AAI/SCI-II T6SS,2,484,132,3.9518395895759,0.0939387783997125,0.908225050282809,1.98252438720088
TetR,AAI/SCI-II T6SS,2,488,132,3.91919059328656,0.0952445745614931,0.908225050282809,1.97055573402797
AAC/APH,AAI/SCI-II T6SS,1,7122,132,0.125601531691418,0.999583855225508,1,-2.99307403710576
Aad,AAI/SCI-II T6SS,3,1802,132,1.5834972220507,0.299233784019868,1,0.663114336430077
CTX-M,AAI/SCI-II T6SS,1,914,132,1.03161684482093,0.622322382287636,1,0.0449072355693636
Qac,AAI/SCI-II T6SS,3,1502,132,1.9051004457847,0.214237714034227,1,0.929867065338104
Sul,AAI/SCI-II T6SS,4,3726,132,1.01234385381558,0.560207801267945,1,0.0176994006410148
Tet(A),AAI/SCI-II T6SS,2,2746,132,0.681499282767509,0.791017056832149,1,-0.553215956196279
AAC/APH,AIDA-I type,4,7122,142,0.477126798996237,0.965055048991737,1,-1.06755537378594
Aad,AIDA-I type,1,1802,142,0.482368304196747,0.874154749679588,1,-1.05179298217772
Dfr,AIDA-I type,1,1585,142,0.549387549174438,0.838216402941045,1,-0.86410388004665
Mph,AIDA-I type,1,3149,142,0.272894428259294,0.973801575559703,1,-1.87358515577089
Qac,AIDA-I type,1,1502,142,0.580158804626269,0.821921245426759,1,-0.785480237254586
Sul,AIDA-I type,2,3726,142,0.462492441097318,0.928307083686175,1,-1.11249830824334
TEM,AIDA-I type,3,4587,142,0.563588593736966,0.898293758825101,1,-0.827285681120639
Tet(A),AIDA-I type,2,2746,142,0.632768821958244,0.823364562657932,1,-0.660249578379998
van,AS,1,218,94,6.1497967935373,0.152017892517312,1,2.62053874056579
AAC/APH,AatA,2,7122,120,0.278967596013129,0.992994354308904,1,-1.84183054195896
TEM,AatA,2,4587,120,0.442576373290893,0.938407504883797,1,-1.17600165921586
AAC/APH,Adhesive fimbriae,9,7122,410,0.368876251840799,0.99984475735414,1,-1.43879118320447
Aad,Adhesive fimbriae,3,1802,410,0.500767231191691,0.936819542037225,1,-0.99778793546027
CMY,Adhesive fimbriae,1,671,410,0.450136365353693,0.891460619966749,1,-1.15156597385162
CTX-M,Adhesive fimbriae,2,914,410,0.661691214405093,0.80418084209412,1,-0.595769970566679
Dfr,Adhesive fimbriae,5,1585,410,0.956696686112664,0.599323935956317,1,-0.0638664938971417
Qac,Adhesive fimbriae,6,1502,410,1.21632822916459,0.375052772236626,1,0.282532596125283
Qnr,Adhesive fimbriae,2,1857,410,0.322849620083566,0.984955345570256,1,-1.63106576550654
Sul,Adhesive fimbriae,10,3726,410,0.809351896178004,0.78549422504359,1,-0.305160989897532
TEM,Adhesive fimbriae,7,4587,410,0.452972658917004,0.993705915804306,1,-1.14250412195637
Tet(A),Adhesive fimbriae,4,2746,410,0.435755993738038,0.98058805936914,1,-1.19840758641323
TetR,Adhesive fimbriae,1,488,410,0.620190352485564,0.800874249455157,1,-0.689217010938582
mcr,Adhesive fimbriae,1,291,410,1.04317195296236,0.61770926554457,1,0.0609769864664583
AAC/APH,Aerobactin,4,7122,320,0.208049446712155,0.999991023516943,1,-2.26500164321073
CMY,Aerobactin,1,671,320,0.577543702172841,0.823167837985026,1,-0.79199797689105
CTX-M,Aerobactin,3,914,320,1.27979934033766,0.417788888790846,1,0.355917627886843
Sul,Aerobactin,2,3726,320,0.203288525610784,0.999358903931337,1,-2.29839930868453
TEM,Aerobactin,4,4587,320,0.330129401476448,0.997663025692032,1,-1.59889646352063
Tet(B),Aerobactin,1,484,320,0.802359831930828,0.713141914840442,1,-0.31767871192423
TetR,Aerobactin,1,488,320,0.795743901626529,0.71609295100717,1,-0.329623899421865
AAC/APH,C3610,2,7122,133,0.251255974801381,0.996436373672772,1,-1.99277019127706
Aad,C3610,1,1802,133,0.515262680521802,0.856477441686139,1,-0.956619990220726
Qac,C3610,1,1502,133,0.61976033027041,0.801329178582568,1,-0.690217681289064
Sul,C3610,1,3726,133,0.245196741028771,0.982502841506353,1,-2.02798829095196
TEM,C3610,2,4587,133,0.398613440263487,0.958856331592538,1,-1.32693773976663
