k,mask,subset,has_ARG,has_BM,has_VF,has_MOB,test_AUC_highrisk,test_AUC_fusion,test_AUC_conj,test_AUC_bm,test_AUC_mean,cv_AUC_highrisk,cv_AUC_fusion,cv_AUC_conj,cv_AUC_bm,cv_AUC_mean
1,1,S_ARG,1,0,0,0,0.981370537861802,0.931603254346591,0.557080306279754,0.601876894462863,0.767982748237753,0.981370537861802,0.931603254346591,0.557080306279754,0.601876894462863,0.767982748237753
2,33,S_ARG+S_SIZE,1,0,0,0,0.98088448300096,0.945119949473067,0.733874205719495,0.787817645983992,0.861924071044379,0.98088448300096,0.945119949473067,0.733874205719495,0.787817645983992,0.861924071044379
3,69,S_ARG+S_MOB+S_BM,1,1,0,1,0.962704812495244,0.938674609871476,0.859088708827949,0.886210241175979,0.911669593092662,0.962704812495244,0.938674609871476,0.859088708827949,0.886210241175979,0.911669593092662
4,101,S_ARG+S_MOB+S_SIZE+S_BM,1,1,0,1,0.960528510836811,0.943136312401595,0.866246751849005,0.901544731849509,0.91786407673423,0.960528510836811,0.943136312401595,0.866246751849005,0.901544731849509,0.91786407673423
5,103,S_ARG+S_VF+S_MOB+S_SIZE+S_BM,1,1,1,1,0.957538256885076,0.963178496041975,0.855639641845538,0.904150872045476,0.920126816704516,0.957538256885076,0.963178496041975,0.855639641845538,0.904150872045476,0.920126816704516
6,119,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM,1,1,1,1,0.957547440024411,0.9631383091348,0.856259444930332,0.904072245448989,0.920254359884633,0.957547440024411,0.9631383091348,0.856259444930332,0.904072245448989,0.920254359884633
7,631,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM+S_GROW,1,1,1,1,0.957337574645809,0.963699320652086,0.85616992488985,0.904191215344865,0.920349508883152,0.957337574645809,0.963699320652086,0.85616992488985,0.904191215344865,0.920349508883152
8,887,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM+S_HAB+S_GROW,1,1,1,1,0.957305525077499,0.963780075917932,0.85615626284311,0.904176861843126,0.920354681420417,0.957305525077499,0.963780075917932,0.85615626284311,0.904176861843126,0.920354681420417
9,1015,S_ARG+S_VF+S_MOB+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,1,0.957273035151134,0.963845319557969,0.856146855931521,0.904153594720651,0.920354701340319,0.957273035151134,0.963845319557969,0.856146855931521,0.904153594720651,0.920354701340319
10,1023,S_ARG+S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,1,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173
