k,mask,subset,has_ARG,has_BM,has_VF,has_MOB,test_AUC_highrisk,test_AUC_fusion,test_AUC_conj,test_AUC_bm,test_AUC_mean,cv_AUC_highrisk,cv_AUC_fusion,cv_AUC_conj,cv_AUC_bm,cv_AUC_mean,outcome
1,1,S_ARG,1,0,0,0,0.981370537861802,0.931603254346591,0.557080306279754,0.601876894462863,0.767982748237753,0.981370537861802,0.931603254346591,0.557080306279754,0.601876894462863,0.767982748237753,High-risk ARG
2,17,S_ARG+S_REP,1,0,0,0,0.981376306294811,0.931309742855918,0.629058473474415,0.612974125476381,0.788679662025381,0.981376306294811,0.931309742855918,0.629058473474415,0.612974125476381,0.788679662025381,High-risk ARG
3,521,S_ARG+S_HOST+S_GROW,1,0,0,0,0.981395620244617,0.939691493408531,0.614717630993422,0.649556042318547,0.796340196741279,0.981395620244617,0.939691493408531,0.614717630993422,0.649556042318547,0.796340196741279,High-risk ARG
4,777,S_ARG+S_HOST+S_HAB+S_GROW,1,0,0,0,0.981448929965076,0.939781465248062,0.615045658028311,0.650796156463535,0.796768052426246,0.981448929965076,0.939781465248062,0.615045658028311,0.650796156463535,0.796768052426246,High-risk ARG
5,905,S_ARG+S_HOST+S_GEO+S_HAB+S_GROW,1,0,0,0,0.981490901109402,0.93981384673159,0.615417177929224,0.651703245285406,0.797106292763905,0.981490901109402,0.93981384673159,0.615417177929224,0.651703245285406,0.797106292763905,High-risk ARG
6,921,S_ARG+S_HOST+S_REP+S_GEO+S_HAB+S_GROW,1,0,0,0,0.981494301008366,0.939897370276924,0.637912659227643,0.657849717661407,0.804288512043585,0.981494301008366,0.939897370276924,0.637912659227643,0.657849717661407,0.804288512043585,High-risk ARG
7,953,S_ARG+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB+S_GROW,1,0,0,0,0.980531689243399,0.948209885178338,0.748952320762732,0.794362119235818,0.868014003605072,0.980531689243399,0.948209885178338,0.748952320762732,0.794362119235818,0.868014003605072,High-risk ARG
8,955,S_ARG+S_VF+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB+S_GROW,1,0,1,0,0.975748115738139,0.973322552499831,0.716509971973447,0.779081839914948,0.861165620031591,0.975748115738139,0.973322552499831,0.716509971973447,0.779081839914948,0.861165620031591,High-risk ARG
9,959,S_ARG+S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB+S_GROW,1,0,1,1,0.970926079145636,0.964025964402206,0.893009029162954,0.745855933301589,0.893454251503096,0.970926079145636,0.964025964402206,0.893009029162954,0.745855933301589,0.893454251503096,High-risk ARG
10,1023,S_ARG+S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,1,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,High-risk ARG
1,2,S_VF,0,0,1,0,0.470785981547921,0.947801054065577,0.519341612670336,0.556495167954464,0.623605954059574,0.470785981547921,0.947801054065577,0.519341612670336,0.556495167954464,0.623605954059574,MDR-VF fusion
2,3,S_ARG+S_VF,1,0,1,0,0.975593113565358,0.966788716151483,0.559160158376526,0.643167677843385,0.786177416484188,0.975593113565358,0.966788716151483,0.559160158376526,0.643167677843385,0.786177416484188,MDR-VF fusion
3,35,S_ARG+S_VF+S_SIZE,1,0,1,0,0.975895018284169,0.971704792456916,0.702849430751675,0.776351309614099,0.856700137776715,0.975895018284169,0.971704792456916,0.702849430751675,0.776351309614099,0.856700137776715,MDR-VF fusion
4,547,S_ARG+S_VF+S_SIZE+S_GROW,1,0,1,0,0.975761808040955,0.972690776217984,0.706693763396945,0.781973262816724,0.859279902618152,0.975761808040955,0.972690776217984,0.706693763396945,0.781973262816724,0.859279902618152,MDR-VF fusion
5,555,S_ARG+S_VF+S_HOST+S_SIZE+S_GROW,1,0,1,0,0.97582933733506,0.973025983884896,0.713639938479836,0.779017922415834,0.860378295528906,0.97582933733506,0.973025983884896,0.713639938479836,0.779017922415834,0.860378295528906,MDR-VF fusion
6,811,S_ARG+S_VF+S_HOST+S_SIZE+S_HAB+S_GROW,1,0,1,0,0.975791888873981,0.973191880006314,0.713657455096081,0.7792196674063,0.860465222845669,0.975791888873981,0.973191880006314,0.713657455096081,0.7792196674063,0.860465222845669,MDR-VF fusion
7,939,S_ARG+S_VF+S_HOST+S_SIZE+S_GEO+S_HAB+S_GROW,1,0,1,0,0.97575826972535,0.973335782031437,0.713551725938312,0.779356693197548,0.860500617723162,0.97575826972535,0.973335782031437,0.713551725938312,0.779356693197548,0.860500617723162,MDR-VF fusion
8,955,S_ARG+S_VF+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB+S_GROW,1,0,1,0,0.975748115738139,0.973322552499831,0.716509971973447,0.779081839914948,0.861165620031591,0.975748115738139,0.973322552499831,0.716509971973447,0.779081839914948,0.861165620031591,MDR-VF fusion
9,1019,S_ARG+S_VF+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,0,0.96108655780176,0.970599919305149,0.684570466452625,0.926621929429677,0.885719718247303,0.96108655780176,0.970599919305149,0.684570466452625,0.926621929429677,0.885719718247303,MDR-VF fusion
10,1023,S_ARG+S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,1,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,MDR-VF fusion
1,4,S_MOB,0,0,0,1,0.716554917054401,0.622471126525221,0.999236436251988,0.603302742708644,0.735391305635063,0.716554917054401,0.622471126525221,0.999236436251988,0.603302742708644,0.735391305635063,Conjugative
2,36,S_MOB+S_SIZE,0,0,0,1,0.701423721758315,0.772594830583456,0.999436855752325,0.736502805185359,0.802489553319864,0.701423721758315,0.772594830583456,0.999436855752325,0.736502805185359,0.802489553319864,Conjugative
3,52,S_MOB+S_REP+S_SIZE,0,0,0,1,0.700525302480725,0.772329728409446,0.999488710271796,0.736546965293547,0.802222676613879,0.700525302480725,0.772329728409446,0.999488710271796,0.736546965293547,0.802222676613879,Conjugative
4,180,S_MOB+S_REP+S_SIZE+S_GEO,0,0,0,1,0.700743405902719,0.776019372011951,0.999465736000106,0.737860987666468,0.803522375395311,0.700743405902719,0.776019372011951,0.999465736000106,0.737860987666468,0.803522375395311,Conjugative
5,436,S_MOB+S_REP+S_SIZE+S_GEO+S_HAB,0,0,0,1,0.701225732527449,0.780163416951293,0.999431149029854,0.739141689555275,0.804990497015968,0.701225732527449,0.780163416951293,0.999431149029854,0.739141689555275,0.804990497015968,Conjugative
6,444,S_MOB+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB,0,0,0,1,0.714816901064753,0.79201578187868,0.999335684315264,0.737304681189854,0.810868262112138,0.714816901064753,0.79201578187868,0.999335684315264,0.737304681189854,0.810868262112138,Conjugative
7,956,S_MOB+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB+S_GROW,0,0,0,1,0.715084867954761,0.801366359694789,0.999004018431731,0.739206466182614,0.813665428065974,0.715084867954761,0.801366359694789,0.999004018431731,0.739206466182614,0.813665428065974,Conjugative
8,958,S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_GEO+S_HAB+S_GROW,0,0,1,1,0.679718191214196,0.889512617573162,0.994117212255847,0.729311601395279,0.823164905609621,0.679718191214196,0.889512617573162,0.994117212255847,0.729311601395279,0.823164905609621,Conjugative
9,1022,S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,0,1,1,1,0.713300172723623,0.904980144942572,0.930343840213826,0.954517693385781,0.875785462816451,0.713300172723623,0.904980144942572,0.930343840213826,0.954517693385781,0.875785462816451,Conjugative
10,1023,S_ARG+S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,1,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,Conjugative
1,64,S_BM,0,1,0,0,0.679699723859189,0.804692409465398,0.575105488571374,1,0.76487440547399,0.679699723859189,0.804692409465398,0.575105488571374,1,0.76487440547399,Biocide/metal
2,72,S_HOST+S_BM,0,1,0,0,0.733694982021842,0.834192109635704,0.599716674855991,1,0.791900941628384,0.733694982021842,0.834192109635704,0.599716674855991,1,0.791900941628384,Biocide/metal
3,88,S_HOST+S_REP+S_BM,0,1,0,0,0.730974719705853,0.83273116364076,0.638596108611719,1,0.800575497989583,0.730974719705853,0.83273116364076,0.638596108611719,1,0.800575497989583,Biocide/metal
4,216,S_HOST+S_REP+S_BM+S_GEO,0,1,0,0,0.731373827671252,0.835434972314427,0.640637518757052,1,0.801861579685683,0.731373827671252,0.835434972314427,0.640637518757052,1,0.801861579685683,Biocide/metal
5,472,S_HOST+S_REP+S_BM+S_GEO+S_HAB,0,1,0,0,0.730344028469092,0.836318045754053,0.641560188990444,1,0.802055565803397,0.730344028469092,0.836318045754053,0.641560188990444,1,0.802055565803397,Biocide/metal
6,984,S_HOST+S_REP+S_BM+S_GEO+S_HAB+S_GROW,0,1,0,0,0.72585432186053,0.839958283670774,0.639248715264532,1,0.801265330198959,0.72585432186053,0.839958283670774,0.639248715264532,1,0.801265330198959,Biocide/metal
7,1016,S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,0,1,0,0,0.715548196734664,0.860946492374467,0.722097777084134,0.999989537848938,0.824645501010551,0.715548196734664,0.860946492374467,0.722097777084134,0.999989537848938,0.824645501010551,Biocide/metal
8,1018,S_VF+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,0,1,1,0,0.695485123838329,0.925751074024089,0.705572772001437,0.993723859865938,0.830133207432449,0.695485123838329,0.925751074024089,0.705572772001437,0.993723859865938,0.830133207432449,Biocide/metal
9,1022,S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,0,1,1,1,0.713300172723623,0.904980144942572,0.930343840213826,0.954517693385781,0.875785462816451,0.713300172723623,0.904980144942572,0.930343840213826,0.954517693385781,0.875785462816451,Biocide/metal
10,1023,S_ARG+S_VF+S_MOB+S_HOST+S_REP+S_SIZE+S_BM+S_GEO+S_HAB+S_GROW,1,1,1,1,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,0.95747218643798,0.964084394833466,0.856418062338646,0.903168085990601,0.920285682400173,Biocide/metal
