score_decile,n,mean_predicted,observed_highrisk,observed_fusion,observed_conj,observed_bm
1,15705,0.149657148779517,0,0,0,0.190321553645336
2,15706,0.177513984085535,0,0,0,0.140201196994779
3,15704,0.187588928998439,0,0,0,0.23191543555782
4,15704,0.193679041972427,0,0,0,0.27196892511462
5,15704,0.202194312655587,0,0,0,0.308201732042792
6,15705,0.226837179257542,0,0,0,0.280420248328558
7,15704,0.25968601002657,0,0,0.00624044829342843,0.334628120224147
8,15705,0.308769923955261,0.00120980579433302,0.0165552371856097,0.174212034383954,0.504552690226043
9,15704,0.384641703715634,0.022287315333673,0.0285277636271014,0.156647987773816,0.531265919510953
10,15705,0.521803435208398,0.281439032155365,0.136071314867876,0.180961477236549,0.599235912129895
