cname,n,n_arg,n_highrisk,n_mcr,n_ndm,n_ctxm,n_kpc,n_vf,n_conj,mean_risk,pct_arg,pct_highrisk,pct_mcr,pct_ndm,pct_ctxm,pct_kpc,pct_vf,pct_conj
Colombia,298,84,43,0,0,2,24,11,34,0.256897818694234,28.1879194630873,14.4295302013423,0,0,0.671140939597315,8.05369127516779,3.69127516778523,11.4093959731544
"Unknown,Thailand",85,35,12,3,0,3,0,4,4,0.295913060397654,41.1764705882353,14.1176470588235,3.52941176470588,0,3.52941176470588,0,4.70588235294118,4.70588235294118
"Unknown,Mexico,USA",57,17,8,0,0,0,0,7,10,0.293020714074626,29.8245614035088,14.0350877192982,0,0,0,0,12.280701754386,17.5438596491228
Poland,232,46,28,14,1,3,0,8,22,0.234792312719698,19.8275862068966,12.0689655172414,6.03448275862069,0.431034482758621,1.29310344827586,0,3.44827586206897,9.48275862068965
"Canada,U.K.",58,15,6,0,0,1,0,4,6,0.271124039107468,25.8620689655172,10.3448275862069,0,0,1.72413793103448,0,6.89655172413793,10.3448275862069
"Ecuador,USA",60,13,6,0,0,0,0,6,10,0.253499785608557,21.6666666666667,10,0,0,0,0,10,16.6666666666667
Peru,280,66,25,0,0,0,0,30,7,0.244115470259715,23.5714285714286,8.92857142857143,0,0,0,0,10.7142857142857,2.5
Chile,251,66,22,0,0,1,0,29,19,0.252585706771663,26.2948207171315,8.76494023904382,0,0,0.398406374501992,0,11.5537848605578,7.56972111553785
"Germany,U.K.",94,29,8,0,0,2,1,8,14,0.279559952781453,30.8510638297872,8.51063829787234,0,0,2.12765957446809,1.06382978723404,8.51063829787234,14.8936170212766
Paraguay,138,39,10,2,0,1,1,9,7,0.249933671005141,28.2608695652174,7.2463768115942,1.44927536231884,0,0.72463768115942,0.72463768115942,6.52173913043478,5.07246376811594
Ecuador,584,115,42,0,0,2,0,30,73,0.227784290510412,19.6917808219178,7.19178082191781,0,0,0.342465753424658,0,5.13698630136986,12.5
Brazil,959,176,61,5,2,1,17,46,100,0.235561541049236,18.3524504692388,6.36079249217935,0.521376433785193,0.208550573514077,0.104275286757039,1.77267987486966,4.79666319082378,10.4275286757039
"USA,U.K.",395,75,25,0,0,3,4,51,60,0.254637354394114,18.9873417721519,6.32911392405063,0,0,0.759493670886076,1.0126582278481,12.9113924050633,15.1898734177215
Turkey,128,20,8,0,0,2,2,4,8,0.226146094296785,15.625,6.25,0,0,1.5625,1.5625,3.125,6.25
Laos,131,20,8,6,0,1,0,7,5,0.215912637540836,15.2671755725191,6.10687022900763,4.58015267175573,0,0.763358778625954,0,5.34351145038168,3.81679389312977
"USA,Brazil",84,18,5,0,0,0,0,7,10,0.254560809235652,21.4285714285714,5.95238095238095,0,0,0,0,8.33333333333333,11.9047619047619
"Mexico,USA",101,15,6,0,0,0,0,13,20,0.260364867638568,14.8514851485149,5.94059405940594,0,0,0,0,12.8712871287129,19.8019801980198
"Unknown,Italy",68,19,4,0,0,0,3,0,17,0.275679113874492,27.9411764705882,5.88235294117647,0,0,0,4.41176470588235,0,25
Belgium,395,95,23,5,0,0,0,20,27,0.237715870512202,24.0506329113924,5.82278481012658,1.26582278481013,0,0,0,5.06329113924051,6.83544303797468
"Unknown,Singapore",70,6,4,0,1,1,0,2,5,0.213218370589826,8.57142857142857,5.71428571428571,0,1.42857142857143,1.42857142857143,0,2.85714285714286,7.14285714285714
Argentina,141,40,8,0,0,0,2,13,8,0.256250559080584,28.3687943262411,5.67375886524823,0,0,0,1.41843971631206,9.21985815602837,5.67375886524823
Myanmar,55,7,3,0,1,1,0,0,3,0.231506567297784,12.7272727272727,5.45454545454545,0,1.81818181818182,1.81818181818182,0,0,5.45454545454545
India,600,103,31,0,0,4,0,25,33,0.230079725183967,17.1666666666667,5.16666666666667,0,0,0.666666666666667,0,4.16666666666667,5.5
