step,added,k,selected,cv_AUC_highrisk,cv_AUC_fusion,cv_AUC_conj,cv_AUC_bm,cv_AUC_mean
1,S_ARG,1,S_ARG,0.980585619246139,0.933424203881692,0.555990373908814,0.601124276873158,0.767781118477451
2,S_SIZE,2,S_ARG+S_SIZE,0.980098647155384,0.947011167392986,0.731003643484287,0.789412721872295,0.861881544976238
3,S_MOB,3,S_ARG+S_SIZE+S_MOB,0.973711327407344,0.938845937344565,0.893740541072341,0.750964216268515,0.889315505523191
4,S_BM,4,S_ARG+S_SIZE+S_MOB+S_BM,0.959356468077419,0.945121297420923,0.867601528013577,0.90207945723355,0.918539687686367
5,S_VF,5,S_ARG+S_SIZE+S_MOB+S_BM+S_VF,0.956344886672123,0.964484593436792,0.856783121924185,0.904758409084784,0.920592752779471
6,S_REP,6,S_ARG+S_SIZE+S_MOB+S_BM+S_VF+S_REP,0.956345787963156,0.964445136681891,0.857408540840428,0.90469402990344,0.920723373847229
7,S_GROW,7,S_ARG+S_SIZE+S_MOB+S_BM+S_VF+S_REP+S_GROW,0.956207872092543,0.964922308903721,0.857404730231596,0.904771165251944,0.920826519119951
8,S_HAB,8,S_ARG+S_SIZE+S_MOB+S_BM+S_VF+S_REP+S_GROW+S_HAB,0.956178448576707,0.964989022016071,0.857397476883202,0.90476019664808,0.920831286031015
9,S_GEO,9,S_ARG+S_SIZE+S_MOB+S_BM+S_VF+S_REP+S_GROW+S_HAB+S_GEO,0.956151637740374,0.96504215496543,0.857394472670092,0.904739431587726,0.920831924240905
10,S_HOST,10,S_ARG+S_SIZE+S_MOB+S_BM+S_VF+S_REP+S_GROW+S_HAB+S_GEO+S_HOST,0.95632428424716,0.965235895312461,0.857715735191649,0.903745722338354,0.920755409272406
