region,n,pct_highrisk,gi,gi_p,hotspot
Argentina,141,5.67375886524823,3.58622295267388,0.000335502145314303,Hotspot (95%)
Australia,3566,1.06561974200785,-0.799835339928618,0.423806204713663,Not significant
Austria,91,2.1978021978022,0.973498407436385,0.330305651338639,Not significant
Bangladesh,292,1.71232876712329,0.405186024804033,0.685340776800545,Not significant
Belgium,395,5.82278481012658,-0.56043424818092,0.575183276692241,Not significant
Brazil,959,6.36079249217935,3.50160848688853,0.000462458649530487,Hotspot (95%)
Cambodia,169,0.591715976331361,0.0235431182268661,0.981217044634112,Not significant
Canada,2243,2.27374052608114,1.45505933365758,0.145652836085379,Not significant
Chile,251,8.76494023904382,3.23316355203739,0.00122427450190592,Hotspot (95%)
China,6249,2.60841734677548,0.277902668790332,0.781087075172088,Not significant
Colombia,298,14.4295302013423,1.39747449770735,0.162270930334464,Not significant
Denmark,1244,1.76848874598071,-0.222271031362255,0.824102901696131,Not significant
Ecuador,584,7.19178082191781,2.26007454046196,0.0238166249576247,Hotspot (95%)
Egypt,102,3.92156862745098,0.2082995152351,0.834995110131275,Not significant
Estonia,162,0,0.425060711746993,0.670792417434998,Not significant
Finland,58,3.44827586206897,0.0647054399123468,0.948408531478086,Not significant
France,2187,1.28029263831733,0.0960237077430912,0.923501743507531,Not significant
Gambia,89,0,-0.840255283499458,0.400765267569918,Not significant
Germany,2147,2.60829063809967,1.48487070203961,0.137578078391544,Not significant
Ghana,201,0.497512437810945,-1.56808731900006,0.116860755563297,Not significant
Greece,224,2.23214285714286,0.22113229205605,0.824989427152145,Not significant
Guatemala,63,0,2.8375823684752,0.00454566164865007,Hotspot (95%)
Guyana,88,0,4.4077498146953,1.04450095972667e-05,Hotspot (95%)
Hungary,95,1.05263157894737,0.974186787674141,0.32996380364407,Not significant
India,600,5.16666666666667,-0.0134349253730729,0.989280802934468,Not significant
Ireland,311,1.92926045016077,0.35385935781513,0.723444286595021,Not significant
Israel,402,0.497512437810945,0.588466426931846,0.556219262251879,Not significant
Italy,941,2.86928799149841,-0.0921386264782435,0.926587899472547,Not significant
Japan,909,2.09020902090209,-0.0397743698552151,0.968273009949676,Not significant
Kenya,426,0.704225352112676,-1.37664450815388,0.168622183051231,Not significant
Lebanon,205,4.87804878048781,0.0733770545195283,0.941506076206036,Not significant
Lithuania,53,1.88679245283019,0.601600326728882,0.547440211355805,Not significant
Malawi,130,0.769230769230769,-1.86992057742928,0.0614948478221784,Not significant
Malaysia,176,2.27272727272727,-0.214089667865655,0.830477132860119,Not significant
Mexico,250,3.6,2.65365078584094,0.00796261856159401,Hotspot (95%)
Mozambique,55,0,-1.76858854597281,0.076962563606356,Not significant
Myanmar,55,5.45454545454545,-0.214879914474072,0.829860945040517,Not significant
Netherlands,1406,1.84921763869132,0.115029220306812,0.908421961309717,Not significant
New Zealand,319,1.25391849529781,-0.82589028972796,0.408866329384993,Not significant
Nigeria,254,1.96850393700787,-1.67370467323071,0.0941886549000106,Not significant
Norway,686,1.89504373177843,-1.31767626888411,0.187612041968124,Not significant
Pakistan,425,3.05882352941176,0.609420799254865,0.542245554911057,Not significant
Paraguay,138,7.2463768115942,2.26338097895082,0.023612214259454,Hotspot (95%)
Peru,280,8.92857142857143,3.21442552577665,0.00130705815946162,Hotspot (95%)
Poland,232,12.0689655172414,-0.684644786029744,0.493568098468608,Not significant
Portugal,166,4.21686746987952,-0.319238907581044,0.749545355281882,Not significant
Qatar,120,2.5,0.430032566505271,0.667171951595022,Not significant
Romania,94,3.19148936170213,0.568856998672406,0.56945318959734,Not significant
Rwanda,69,0,-1.76858854597281,0.076962563606356,Not significant
Singapore,394,2.03045685279188,-0.179952634737837,0.857189753069909,Not significant
South Africa,370,1.35135135135135,-1.94762197185744,0.0514602127363376,Not significant
Spain,983,2.74669379450661,-0.111349507010899,0.911339198541246,Not significant
Sweden,315,0.317460317460317,-1.10202246321018,0.270451905942,Not significant
Switzerland,680,3.52941176470588,-0.0741685360167423,0.940876281494914,Not significant
Thailand,1087,4.6918123275069,-0.556766332419819,0.577687089536608,Not significant
Turkey,128,6.25,-0.121729972233203,0.903112875342248,Not significant
