replicon_primary,mean_growth,median_growth,n,mean_risk
IncFIB(pKPHS1),0.0760998039215687,0.070395,102,0.33881509901692
IncFIB(Mar),0.0758266477272727,0.05097,176,0.345637044575854
IncFIB(pB171),0.0575295000000002,0.02811,660,0.325080766554184
Col(MP18),0.0567364462809917,0.04492,121,0.246356261169105
IncFIB(pHCM2),0.0533633333333333,0.04492,174,0.316447393396204
IncA/C2,0.0515494736842105,0.02811,190,0.339836243831589
repUS15,0.0515200737100738,0.02811,407,0.247178847234073
rep1,0.0514630038022813,0.02811,263,0.353309373143343
rep9c,0.0505548175182482,0.02811,137,0.242733069451001
IncFII/IncFII(pCoo),0.0503927894736842,0.02811,190,0.375659116910999
IncFII(Yp),0.0494732947976878,0.02811,346,0.380971850833105
repUS25,0.04833624,0.02811,125,0.18762953852484
repUS43,0.0475348437500001,0.02811,448,0.422796601090038
IncFIA/IncFIB(AP001918),0.0467586815415822,0,493,0.316268505886445
repUS1,0.0454223529411765,0.02811,136,0.276123671031522
IncFII(pECLA),0.0453392574257425,0.02811,202,0.350159378903096
FIA(pBK30683),0.0452161847389558,0,249,0.25559878492767
IncY,0.0444949012345681,0.02811,810,0.30902707820944
p0111,0.0434388013698631,0.02811,876,0.239825277351135
rep2,0.0427547011952191,0,251,0.318013759311204
rep9b,0.0427249038461538,0.02811,208,0.262130244878538
IncB/O/K/Z,0.042618220338983,0,1416,0.286130323288391
repUS12,0.0422090598290598,0,117,0.416682273729772
IncFIB(pQil),0.0420658089668617,0,513,0.364072013748053
RepA,0.0419354545454545,0.014055,220,0.330279259442811
IncI,0.0404158490566037,0,424,0.28543809278389
IncFIB(pECLA),0.0397187786259542,0,131,0.319422364243263
IncFIA(HI1),0.0394412833675566,0,974,0.352465224699755
IncFIB(AP001918),0.0391859121011436,0,4983,0.306174883495276
IncHI2/IncHI2A,0.0391161581920904,0,177,0.294966027754936
IncFII(pSE11),0.0380356805555555,0,1440,0.389011150931258
IncFII(pCoo),0.0374306465517241,0,1624,0.382966441305082
IncP6,0.037412480620155,0.02811,129,0.497279533831497
rep14a,0.0370530701754386,0,228,0.248627421093663
IncN2,0.0368555905511811,0.01635,127,0.429582287880038
rep18a,0.0367778191489361,0,188,0.267346419447285
IncFII(pHN7A8),0.0365714924114672,0,1186,0.391766986992553
IncFII(S),0.0365268197088468,0,893,0.35056861876745
rep9a,0.0363085802469136,0.02811,162,0.23309240660342
IncX2,0.0359423008849557,0.02811,113,0.453263980244052
rep38,0.0350897826086957,0,138,0.216786511201353
IncX3,0.03489318537859,0,383,0.39468513534562
rep20/rep21,0.034805731707317,0,328,0.304124259092395
IncFII(29),0.0345306852589643,0,1255,0.387508737867322
IncI2,0.0344835991605458,0,953,0.296737538488114
IncHI1B(CIT),0.0337756296296296,0,135,0.292478871611051
IncFIB(K),0.0337721081409476,0,3292,0.299634612551363
rep22,0.0335752631578947,0,209,0.471281207585527
rep17,0.0334921701602961,0,811,0.25944438370798
IncR,0.0331688706365502,0,2922,0.343086451870128
IncFII(pCRY),0.0330864412811388,0,281,0.291225474391542
IncX1,0.0328408952654231,0,3485,0.370523928358609
Col8282,0.0325028834355828,0,163,0.258659361623593
Col440I/Col440II,0.0314225364431487,0,343,0.309891764423176
IncFII(K),0.0311912589729432,0,1811,0.361768526333302
rep15,0.030709568627451,0,255,0.405668976444321
IncFIB(S)/IncFII(S),0.0305940569395018,0,281,0.344292359323568
rep16/repUS5,0.030559801980198,0,101,0.274782880090682
IncN,0.0304571813725491,0,1224,0.392353022870208
rep25,0.0301559493670886,0,632,0.181567379594321
rep11a,0.0301239111111111,0,225,0.269646339344917
IncFIC(FII),0.0300903539823009,0,2034,0.370599788007052
pXuzhou21,0.0300497794117647,0,136,0.228011956454114
pEC4115,0.0297645512820513,0,156,0.215271661458488
IncFII(pRSB107),0.0296500558213717,0,1254,0.38709236084542
IncFII,0.0296332493412381,0,6072,0.382660436846258
IncFII(pMET),0.0296084027777778,0,144,0.295956012429633
IncHI1B,0.0293275857687422,0,787,0.308107607717115
ColpVC,0.0292839657631955,0,701,0.221954825806126
Col3M,0.0288460563380282,0,142,0.345968710894239
Col440I,0.0284338014165073,0,7342,0.275778429335002
IncI1,0.0281345886615515,0,4692,0.363538439444938
Col(MG828),0.027899254473161,0,2012,0.248430636778567
rep18b,0.0271409248554913,0,519,0.217397768922616
IncHI2A,0.0258232369942196,0,173,0.289425221414804
ColE10,0.0255910810810811,0,148,0.318261350193226
Col440II,0.0251841704035874,0,669,0.31444750440842
IncQ1,0.0247533312182742,0,1576,0.445624399807334
Col156,0.0246864792988818,0,3309,0.2835269460687
rep13,0.0245892700729927,0,548,0.277577129198537
ColRNAI,0.0244598131158681,0,2943,0.395236757893886
ColKP3,0.0238130601092896,0,183,0.601736352626757
rep24a,0.0235726666666667,0,135,0.22508978145639
IncFIB(S),0.023092302771855,0,469,0.287363159156915
rep29,0.0228296306068601,0,379,0.277644431189781
pSL483,0.0228012068965517,0,116,0.217798673927587
rep16/rep19/rep5a,0.0222225111111111,0,450,0.361471486608752
rep36,0.0220568217054264,0,129,0.168643624639896
IncHI2,0.022043,0,450,0.276185036635613
rep20/repUS70,0.0219971657754011,0,187,0.310116581815169
rep20,0.0218875457875459,0,1365,0.282735530045393
IncX4,0.0205673702623908,0,1715,0.36233334479093
rep7a,0.0199178908554574,0,1356,0.305219723419202
rep19c,0.0195335121951219,0,205,0.256386975507442
rep16/rep5a,0.0194048925281474,0,977,0.382688083514454
repUS76,0.0193143801652893,0,121,0.244931054702962
rep16/rep19,0.0191087413394921,0,1732,0.364486190702285
rep5b,0.0190505633802817,0,142,0.247529815376597
rep10,0.0187489812332439,0,746,0.363758101262033
IncFIA,0.0183616316257033,0,3377,0.283583105020008
rep16/rep19/rep21,0.0181829641693811,0,307,0.329255962661165
rep21,0.0175775446775448,0,1287,0.231671331003014
rep39,0.017463387755102,0,245,0.293936739577683
rep20/rep5a,0.0169035437881874,0,491,0.314486864064709
rep28,0.0165059776536313,0,179,0.170850096920607
rep16,0.0137923846153846,0,260,0.313398409116709
Col(BS512),0.0121829614604462,0,493,0.21715845349263
