feature,MDG_highrisk,MDG_mdrvf,MDG_conj,MDG_bm,mean_MDG,user_weight_10,user_weight_norm
S_ARG,0.854619149369985,0.421393597239029,0.00229782929854979,0.0714511182719067,0.426103525302521,0.2448,0.244775522447755
S_MOB,0.0378231796906448,0.0213882485506759,0.915286598992006,0.314376672828359,0.324832675744442,0.2041,0.204079592040796
S_VF,0.00139289635455318,0.384089507117252,0.000921060055197694,0.0267056653098182,0.128801154509001,0.1096,0.10958904109589
S_HOST,0.00822557799752628,0.099478215659774,0.00312885000945056,0.0455471514689853,0.0369442145555836,0.0282,0.0281971802819718
S_SIZE,0.0451371537761981,0.0193953730625462,0.0213636268070334,0.358551615998325,0.0286320512152592,0.1808,0.180781921807819
S_BM,0.0187225861313538,0.0316099832422223,0.0108470220214826,,0.0203931971316862,0.2112,0.211178882111789
S_REP,0.0130469736681729,0.012200215446271,0.0350965729409768,0.0391301992391131,0.0201145873518069,0.003,0.002999700029997
S_GROW,0.0089910941987161,0.0033539515235177,0.00404072109335657,0.0595425218142726,0.00546192227186345,0.0147,0.0146985301469853
S_HAB,0.00619504760653033,0.00375585971984746,0.00367309632111037,0.0448640645241231,0.00454133454916272,0.0022,0.0021997800219978
S_GEO,0.0058463412063193,0.00333504843886481,0.00334462246083631,0.0398309905450974,0.00417533736867347,0.0015,0.0014998500149985
