component,Biocide/metal,Conjugative,High-risk ARG,MDR-VF fusion,mean_AUC
S_ARG,0.601876894462863,0.557080306279754,0.981370537861802,0.931603254346591,0.767982748237753
S_SIZE,0.782618924098052,0.802936137693328,0.646296439519964,0.829653072776121,0.765376143521866
S_BM,1,0.575105488571374,0.679699723859189,0.804692409465398,0.76487440547399
S_MOB,0.603302742708644,0.999236436251988,0.716554917054401,0.622471126525221,0.735391305635063
S_HOST,0.57544036451593,0.581007368435083,0.718522711748701,0.753640038371286,0.65715262076775
S_VF,0.556495167954464,0.519341612670336,0.470785981547921,0.947801054065577,0.623605954059574
S_HAB,0.582302719974518,0.604835719770882,0.599449754454417,0.696105509889124,0.620673426022235
S_GROW,0.577551973603719,0.595798302200416,0.600651144580847,0.688936252522971,0.615734418226988
S_GEO,0.578299697183333,0.598899732545324,0.588380177863606,0.694425517027073,0.615001281154834
S_REP,0.510484662885629,0.604222254103899,0.499006166591372,0.483760805076619,0.52436847216438
