replicon_primary,slope_kb_per_year,p,r2,mean_len,n,sig
IncFIB(K),0.299003966381511,2.44575598239905e-20,0.0256252331198731,16.4646941069259,3292,TRUE
IncB/O/K/Z,0.236303498716135,4.36621738598066e-16,0.0456621029347703,16.7257471751412,1416,TRUE
IncR,0.186485456861067,9.59447989018697e-10,0.0127306097946304,16.658834017796,2922,TRUE
IncI1,0.159734240868706,8.16696379655858e-15,0.0127750655824765,22.0832679028133,4692,TRUE
IncFIB(AP001918),0.156430128581595,6.88508622797497e-21,0.0174939869688307,15.8508223961469,4983,TRUE
IncX4,0.141199051610447,1.54907725028018e-05,0.0108465274927714,27.3862443148688,1715,TRUE
IncFII(pCoo),0.136018896656929,1.48262314464488e-07,0.0168844517974471,14.6211600985222,1624,TRUE
IncFIA,0.132672822723214,1.79745889588392e-10,0.0119813662236323,20.4658300266509,3377,TRUE
rep16/rep19,0.102076501822365,0.00274775382701572,0.00517179208592948,15.4636050808314,1732,TRUE
IncFIC(FII),0.0916555959410479,0.000222032442440364,0.00668921281830702,15.7181833824975,2034,TRUE
rep20,0.0893925772501552,0.000439913677843689,0.00902656814095099,18.7102153846154,1365,TRUE
IncFII(pSE11),0.071613882686541,0.00998486411251656,0.00460681241070984,13.4954597222222,1440,TRUE
IncFII,0.0626910160809249,2.37280708500582e-05,0.00293889591849887,14.9702084980237,6072,TRUE
ColRNAI,0.0436384664508394,0.000124219717140485,0.0049959872451267,8.65029459734964,2943,TRUE
Col(MG828),0.0147576017786615,0.00377657271613508,0.00416558932589004,2.36832504970179,2012,TRUE
Col156,-0.00140031541052624,0.889775277571691,5.80878123843477e-06,6.99093563009973,3309,FALSE
IncQ1,-0.00998727249968294,0.506688031592386,0.000280164562408644,9.26502791878173,1576,FALSE
Col440I,-0.0102910576038723,0.0128464954164833,0.000843043462676715,4.09237660038137,7342,TRUE
IncFII(K),-0.0200101787793276,0.730682269364443,6.55140813429454e-05,17.5313672004417,1811,FALSE
IncX1,-0.0679079628217815,0.0277932073544736,0.00138908427628709,23.8976261119082,3485,TRUE
