replicon_primary,p_fisher,p_chisq,sig
Col440I,9.99900009999e-05,4.56524930927076e-51,***
IncFII,9.99900009999e-05,3.79969466393928e-27,***
IncFIB(AP001918),9.99900009999e-05,6.19301107371482e-63,***
IncI1,9.99900009999e-05,1.57965779766488e-10,***
IncX1,9.99900009999e-05,1.16221288615461e-08,***
IncFIA,0.0001999800019998,3.17441500707688e-05,***
Col156,9.99900009999e-05,5.24194617589968e-06,***
IncFIB(K),9.99900009999e-05,9.3248983107594e-49,***
ColRNAI,9.99900009999e-05,1.67769658354576e-20,***
IncR,9.99900009999e-05,2.51785935003086e-28,***
IncFIC(FII),9.99900009999e-05,5.53501472596144e-31,***
Col(MG828),9.99900009999e-05,3.65989261323104e-07,***
IncFII(K),9.99900009999e-05,5.15775912477875e-40,***
rep16/rep19,9.99900009999e-05,1.65507020004712e-72,***
IncX4,9.99900009999e-05,5.12205994654948e-09,***
IncFII(pCoo),9.99900009999e-05,3.8490096937585e-36,***
IncQ1,0.0826917308269173,0.110106102942636,
IncFII(pSE11),9.99900009999e-05,3.66272654157209e-14,***
IncB/O/K/Z,9.99900009999e-05,2.07327908269221e-14,***
rep20,9.99900009999e-05,2.24520385877646e-21,***
