replicon_primary,slope,p,OR,direction
Col440I,0.0284555158601099,2.0582996001563e-36,1.02886424167568,increasing
IncFII,-0.00822454804040071,2.05456596768055e-05,0.991809181022726,declining
IncFIB(AP001918),-0.0252865857857097,1.32477794701375e-41,0.975030442118848,declining
IncI1,0.00402420764697149,0.0889330008073338,1.004032315643,increasing
IncX1,0.0105603025232765,0.000214678601615993,1.01061625931806,increasing
IncFIA,0.00347095327070088,0.206510498564886,1.00347698400445,increasing
Col156,-0.0102807984855103,3.5756179136469e-05,0.989771868283239,declining
IncFIB(K),0.0221982449691766,2.81899777291029e-12,1.02244645924695,increasing
ColRNAI,-0.00292382155617415,0.294377099227489,0.997080448647287,declining
IncR,0.0218182529958605,8.24374639587365e-11,1.02205801160745,increasing
IncFIC(FII),-0.00194384293412243,0.561966417638516,0.998058045105005,declining
Col(MG828),-0.0027615061690795,0.409264536424507,0.997242303281667,declining
IncFII(K),0.0172810625714126,2.63946128952671e-05,1.01743124398409,increasing
rep16/rep19,-0.0111834034697924,0.000816485989054987,0.988878898321818,declining
IncX4,0.0209289455688143,1.35307151434016e-06,1.02114949186341,increasing
IncFII(pCoo),-0.0299838304508783,3.27655943915359e-25,0.970461225342097,declining
IncQ1,-0.00310072198078272,0.408873995644116,0.996904080292831,declining
IncFII(pSE11),0.00580408487512233,0.169257400864069,1.0058209612105,increasing
IncB/O/K/Z,-0.0219350607054768,4.06831616916042e-11,0.978303763344667,declining
rep20,-0.0145855713198507,5.81280425409696e-05,0.985520282852724,declining
