vf,N
Type 1 fimbriae,6012
AIDA-I type,5710
TTSS secreted effectors,3987
F9 fimbriae,3765
TraJ,3421
Colicin Ib,3061
Cah,2883
Colicin Ia,2834
Aerobactin,2659
Adhesive fimbriae,2591
Salmochelin siderophore,2572
SCI (Salmonella centrisome island),2375
ECP,2351
P fimbriae,2330
Tia/Hek,2106
T6SS,2058
SCI-I T6SS,2041
Saf,1926
Iron/manganese transport,1826
PagN,1823
Gsp,1666
TTSS-2 secreted effectors,1636
Antigen 43,1599
CS31A capsule-like antigen,1593
Ibes,1522
ACE T6SS,1492
C3610,1450
Enterotoxin SenB/TieB,1358
T2SS,1353
Colicin B,1246
