Scheme,Outcome,AUC
Expert,y_highrisk,0.9565
Expert,y_fusion,0.9795
Expert,y_conj,0.8353
Expert,y_bm,0.7961
RF_MDG,y_highrisk,0.965
RF_MDG,y_fusion,0.952
RF_MDG,y_conj,0.8557
RF_MDG,y_bm,0.8834
LASSO,y_highrisk,0.9517
LASSO,y_fusion,0.9688
LASSO,y_conj,0.7914
LASSO,y_bm,0.9202
Entropy,y_highrisk,0.8827
Entropy,y_fusion,0.9375
Entropy,y_conj,0.7927
Entropy,y_bm,0.7934
Optimized,y_highrisk,0.9229
Optimized,y_fusion,0.9567
Optimized,y_conj,0.9237
Optimized,y_bm,0.8958
Final,y_highrisk,0.9558
Final,y_fusion,0.9613
Final,y_conj,0.8563
Final,y_bm,0.9023
