Component,Expert,RF_MDG,LASSO,Entropy,Optimized,Final
S_ARG,0.2143,0.3478,0.2389,0.1362,0.1478,0.2448
S_VF,0.2143,0.0771,0.1588,0.1597,0.0929,0.1096
S_MOB,0.1429,0.2481,0.137,0.0903,0.2271,0.2041
S_HOST,0.1071,0.027,0.0575,0.012,0,0.0282
S_REP,0.0714,0.0047,0.0044,0.1676,0,0.003
S_SIZE,0.0714,0.0472,0.1479,0.0086,0.3473,0.1808
S_BM,0.0714,0.2338,0.25,0.087,0.1497,0.2112
S_GEO,0.0357,0.0044,0,0.1121,0,0.0015
S_HAB,0.0357,0.0057,8e-04,0.1209,0,0.0022
S_GROW,0.0357,0.0042,0.0047,0.1057,0.0352,0.0147
