iteration,spearman_rho,top10_overlap
1,0.998755500244455,9
2,0.994335748255478,10
3,0.998481710298236,10
4,0.998737721676519,10
5,0.99805858038135,9
6,0.984091737410552,9
7,0.997667451886751,10
8,0.996757189208409,10
9,0.992646784301525,9
10,0.993884172629895,9
11,0.997671007600338,10
12,0.989720432019201,10
13,0.996803413485044,10
14,0.999246188719499,10
15,0.997621227610116,10
16,0.996881639183964,10
17,0.999228410151563,9
18,0.995519800880039,9
19,0.994410418240811,10
20,0.990314236188275,9
21,0.996106493621939,9
22,0.998303924618872,10
23,0.996401617849682,9
24,0.996696742077426,10
25,0.997020312013867,10
26,0.99605315791813,9
27,0.995854037957243,10
28,0.988675052224543,10
29,0.992070758700387,10
30,0.986797635450465,9
31,0.990844037512779,10
32,0.996885194897551,9
33,0.991153384594871,10
34,0.999487977243433,10
35,0.996262945019779,9
36,0.9920672029868,9
37,0.985937152762345,9
38,0.997126983421485,9
39,0.997667451886751,10
40,0.991210276012267,10
41,0.997013200586693,10
42,0.992842348548825,9
43,0.998556380283568,10
44,0.990584470420908,10
45,0.995512689452865,9
46,0.995242455220232,10
47,0.992088537268323,10
48,0.993973065469577,9
49,0.997745677585671,10
50,0.992988132805903,10
51,0.999118183030357,10
52,0.995189119516423,9
53,0.993425485577137,9
54,0.995491355171341,10
55,0.990435130450243,9
56,0.998343037468332,9
57,0.988507933685942,9
58,0.999292412996133,10
59,0.992863682830348,10
60,0.995555358015912,9
61,0.99817591892973,10
62,0.989571092048536,10
63,0.994250411129384,10
64,0.997535890484022,10
65,0.998741277390106,9
66,0.997855904706876,10
67,0.991455620249789,10
68,0.985218898617716,8
69,0.99825414462865,10
70,0.993002355660252,9
71,0.990566691852971,10
72,0.990964931774746,9
73,0.997439886217165,9
74,0.998289701764523,9
75,0.988763945064225,10
76,0.997767011867194,10
77,0.994787323881062,10
78,0.994751766745189,10
79,0.996696742077426,10
80,0.99008667051869,10
81,0.995978487932797,10
82,0.996789190630695,9
83,0.997639006178053,10
84,0.98969554202409,8
85,0.998062136094938,10
86,0.993372149873328,9
87,0.994399751100049,9
88,0.986186052713454,9
89,0.991615627361216,9
90,0.99303080136895,9
91,0.999007955909152,10
92,0.985297124316636,7
93,0.995679807991466,10
94,0.995846926530068,10
95,0.993731276945642,10
96,0.997429219076403,9
97,0.999512867238544,10
98,0.998986621627628,10
99,0.990179119071959,9
100,0.992625450020001,9
