replicon_primary,S_REP,S_GEO,S_HAB,S_GROW,S_HOST,n_PSC,notes
ColKP3,0.90,0.55,0.55,0.50,0.45,240,High ARG and conjugation rate
IncX3,0.88,0.70,0.60,0.80,0.55,180,NDM carrier; rapid expansion
IncX4,0.85,0.75,0.65,0.70,0.50,1715,mcr-1 vector; high BMRG
IncN,0.82,0.80,0.70,0.55,0.80,310,Broad host; high integron rate
IncN3,0.80,0.65,0.60,0.55,0.75,120,NDM/IMP carrier
IncHI2,0.80,0.75,0.75,0.50,0.85,280,mcr and ESBL vector; broad host
IncHI1B,0.78,0.60,0.55,0.55,0.50,150,Fusion plasmid backbone
IncL_M,0.75,0.65,0.60,0.50,0.65,90,Clinically important
IncL/M(pMU407),0.78,0.55,0.55,0.45,0.60,80,High ARG rate
IncQ1,0.72,0.85,0.80,0.35,0.90,1576,Small broad-host-range; high ARG load
IncQ2,0.65,0.55,0.55,0.35,0.80,60,Mobilizable broad-host
IncR,0.70,0.70,0.60,0.65,0.50,2922,High BMRG and IS density; hospital-adapted
IncFIB(K),0.72,0.75,0.65,0.90,0.45,3292,KPC/NDM; fastest size expansion
IncFIB(AP001918),0.55,0.85,0.75,0.60,0.45,4983,Abundant; VF-rich; low ARG
IncFIB(S),0.60,0.55,0.50,0.45,0.40,180,Salmonella virulence plasmid
IncFIB(pB171),0.65,0.50,0.50,0.45,0.40,80,
IncFII,0.60,0.90,0.80,0.55,0.50,6072,Most abundant; ESBL carrier
IncFII(K),0.68,0.70,0.60,0.65,0.45,1811,KPC-2 vector
IncFII(pHN7A8),0.82,0.60,0.55,0.85,0.45,90,NDM dissemination; rapid rise
IncFII(pCoo),0.62,0.65,0.60,0.55,0.45,1624,
IncFII(pSE11),0.55,0.60,0.55,0.50,0.40,1440,
IncFIA,0.50,0.80,0.70,0.55,0.45,4125,Common F-companion; high BMRG
IncFIA(HI1),0.65,0.50,0.50,0.50,0.40,70,
IncFIC(FII),0.58,0.75,0.65,0.55,0.45,2034,
IncI1,0.68,0.85,0.75,0.60,0.55,4692,ESBL/carbapenemase; high fusion rate
IncI2,0.72,0.65,0.60,0.55,0.50,140,mcr-1 vector
IncB/O/K/Z,0.55,0.70,0.60,0.65,0.50,1942,Rapid size expansion
IncY,0.50,0.45,0.45,0.40,0.40,60,
IncP6,0.65,0.60,0.65,0.45,0.85,95,Broad host range
IncA/C2,0.62,0.70,0.65,0.40,0.85,238,MDR broad-host
IncU,0.55,0.45,0.50,0.40,0.65,50,
IncW,0.55,0.55,0.55,0.40,0.70,45,
IncHIB,0.60,0.45,0.45,0.40,0.50,40,
rep16/rep19,0.72,0.55,0.50,0.45,0.30,1732,Staphylococcal; high ARG and BMRG
rep16/rep5a,0.75,0.45,0.45,0.40,0.25,80,Near-ubiquitous BMRG
rep20,0.70,0.50,0.45,0.50,0.25,1365,Highest MDR-VF fusion rate (18%)
repUS43,0.68,0.40,0.40,0.40,0.25,90,High fusion rate
rep10,0.60,0.40,0.40,0.35,0.25,120,Staphylococcal; high ARG
rep7a,0.50,0.40,0.40,0.35,0.25,80,
rep13,0.55,0.35,0.35,0.35,0.20,50,
Col440I,0.25,0.80,0.70,0.25,0.35,9158,Abundant but low ARG; declining
Col440II,0.30,0.55,0.50,0.35,0.35,787,
ColRNAI,0.40,0.75,0.65,0.45,0.40,3568,Mobilizable; often co-resident
Col156,0.35,0.70,0.60,0.40,0.35,4401,Stable size; low ARG
Col(MG828),0.15,0.60,0.55,0.40,0.30,2339,Very low ARG
ColpVC,0.10,0.45,0.45,0.35,0.25,879,Nearly no ARG
Col(BS512),0.10,0.40,0.40,0.30,0.25,590,
Col(KPHS6),0.12,0.35,0.35,0.30,0.20,53,
Col(MGD2),0.20,0.30,0.30,0.30,0.20,58,
ColE10,0.45,0.40,0.40,0.40,0.30,181,
Col3M,0.55,0.35,0.35,0.40,0.25,174,
Col8282,0.30,0.40,0.40,0.35,0.25,204,
ColMP18,0.25,0.35,0.35,0.30,0.20,138,
IncX1,0.45,0.75,0.65,0.25,0.55,3485,Declining prevalence; bridge node
IncX5,0.55,0.45,0.45,0.45,0.45,60,
IncFrep,0.50,0.45,0.45,0.40,0.35,50,
IncFIB(pHCM2),0.55,0.40,0.40,0.45,0.35,45,
IncFII(29),0.55,0.45,0.45,0.45,0.35,55,
p0111,0.40,0.35,0.35,0.35,0.25,40,
KBN834p02,0.35,0.30,0.30,0.30,0.20,30,
pKPCAV1102,0.60,0.35,0.35,0.50,0.30,25,KPC-bearing
pKp11801-2,0.55,0.30,0.30,0.45,0.25,20,
pCKW102,0.50,0.30,0.30,0.40,0.25,20,
