cat,N,pct
Adherence,30406,27.8091788765114
Effector delivery system,25887,23.6761235800911
Exotoxin,15005,13.7234996067241
Nutritional/Metabolic factor,10061,9.20174138908705
Invasion,9883,9.03894345973038
Biofilm,6470,5.91743035358247
Exoenzyme,2478,2.266366679471
Immune modulation,2455,2.24533099196986
Regulation,2119,1.93802703543141
Motility,1789,1.63621064954545
Antimicrobial activity/Competitive advantage,1393,1.27403098648228
Other,1241,1.13501252995299
Stress survival,131,0.119811959245642
Post-translational modification,20,0.0182919021749072
