id,set
218431,train
250142,train
256144,train
521015,train
757401,train
66702,train
32305,train
752481,train
351180,train
19680,train
337295,train
656619,train
355962,train
453339,train
198310,train
552222,train
177806,train
141647,train
675936,train
162171,train
443945,train
639208,train
4060,train
604750,train
78389,train
480935,train
13599,train
604261,train
349354,train
631451,train
318458,train
432986,train
620586,train
737588,train
530189,train
290967,train
226963,train
364417,train
306708,train
427126,train
442824,train
522306,train
409254,train
411402,train
700170,train
197246,train
176353,train
708108,train
626764,train
92959,train
762069,train
8139,train
150950,train
778422,train
78632,train
469864,train
238004,train
222550,train
107255,train
535709,train
168649,train
438705,train
270692,train
38563,train
308670,train
140598,train
768399,train
152827,train
661732,train
387323,train
83970,train
207115,train
509297,train
597466,train
133806,train
544752,train
710788,train
501122,train
71226,train
167689,train
463569,train
86400,train
384728,train
178211,train
443965,train
539851,train
694016,train
356333,train
143046,train
454719,train
150000,train
637275,train
508229,train
780945,train
459757,train
467940,train
449367,train
430992,train
542915,train
704908,train
459595,train
236393,train
593069,train
391834,train
88419,train
251951,train
729137,train
704216,train
395639,train
508526,train
143954,train
47539,train
642924,train
233704,train
304387,train
16525,train
16406,train
616873,train
706298,train
418387,train
404070,train
411721,train
16608,train
609692,train
791869,train
104096,train
503723,train
129261,train
155277,train
702508,train
324830,train
278915,train
154476,train
376937,train
428104,train
482012,train
65861,train
155906,train
92376,train
189790,train
191135,train
121246,train
314895,train
243659,train
309016,train
132275,train
421322,train
81194,train
169066,train
182121,train
607929,train
335337,train
680548,train
760901,train
683821,train
701037,train
34238,train
262043,train
98491,train
39605,train
772421,train
672621,train
490737,train
325590,train
463693,train
590786,train
768259,train
387510,train
157368,train
395475,train
145930,train
328219,train
404346,train
690378,train
713998,train
418863,train
576091,train
696430,train
601837,train
461423,train
505947,train
329832,train
132081,train
166060,train
674689,train
101121,train
247817,train
694103,train
750862,train
142318,train
775403,train
415922,train
140112,train
659773,train
401581,train
253572,train
783599,train
109705,train
275323,train
223806,train
540243,train
146130,train
417914,train
461970,train
750539,train
332423,train
648807,train
547866,train
583435,train
427116,train
146284,train
225176,train
296205,train
107719,train
700701,train
615357,train
277989,train
749106,train
268335,train
524023,train
607802,train
362983,train
145271,train
595667,train
296735,train
321368,train
274544,train
437227,train
174509,train
711356,train
589512,train
147796,train
72404,train
773557,train
774018,train
784244,train
658744,train
203735,train
189492,train
535284,train
761345,train
126842,train
632902,train
130450,train
410474,train
497660,train
647548,train
500976,train
503024,train
245112,train
280969,train
348190,train
298574,train
531462,train
499714,train
544408,train
761720,train
76048,train
213978,train
286765,train
253004,train
647736,train
415130,train
139959,train
286768,train
101952,train
40822,train
78703,train
104156,train
238105,train
3857,train
404188,train
784570,train
666071,train
510169,train
413765,train
475652,train
62817,train
762764,train
185271,train
733998,train
371532,train
772530,train
120741,train
328005,train
688266,train
524011,train
638505,train
213989,train
270573,train
376451,train
701476,train
471820,train
169495,train
753706,train
53305,train
520820,train
358046,train
470151,train
355230,train
587778,train
10247,train
68486,train
186937,train
307127,train
92082,train
757903,train
22522,train
57149,train
6301,train
341691,train
476555,train
249268,train
581876,train
137721,train
775727,train
666859,train
462541,train
686635,train
373821,train
214104,train
177047,train
443081,train
67756,train
396869,train
263234,train
77838,train
89755,train
646656,train
118070,train
251945,train
588792,train
739738,train
65147,train
587007,train
526419,train
432633,train
119012,train
337656,train
573813,train
206189,train
356607,train
672092,train
50731,train
24203,train
765095,train
391258,train
714371,train
557253,train
791768,train
301166,train
442809,train
382428,train
23744,train
605108,train
507695,train
103911,train
368520,train
536840,train
548017,train
762651,train
80123,train
64316,train
509473,train
520310,train
535916,train
691689,train
229435,train
665421,train
194335,train
62658,train
708183,train
422603,train
601944,train
585373,train
595630,train
421279,train
459606,train
214413,train
510610,train
572171,train
19735,train
155695,train
289366,train
679241,train
522407,train
43367,train
306719,train
223836,train
136291,train
631114,train
757548,train
463077,train
628904,train
213283,train
123632,train
771696,train
121865,train
409879,train
709064,train
719383,train
2135,train
320896,train
158180,train
293576,train
591206,train
3020,train
457248,train
719635,train
473049,train
349572,train
127597,train
115749,train
147653,train
505724,train
776831,train
87397,train
310651,train
609761,train
735035,train
343974,train
10489,train
628515,train
23040,train
374368,train
6083,train
636835,train
581011,train
573334,train
16704,train
15649,train
442989,train
450449,train
736935,train
207864,train
657430,train
186840,train
728034,train
368583,train
532256,train
703646,train
62337,train
738741,train
646651,train
740644,train
265109,train
323827,train
419362,train
291048,train
376811,train
730797,train
86140,train
538457,train
236205,train
789065,train
13754,train
158117,train
375740,train
788384,train
197486,train
731599,train
327205,train
703647,train
289609,train
225224,train
712220,train
781656,train
396970,train
724237,train
403638,train
708289,train
368469,train
105701,train
624658,train
731411,train
763806,train
48448,train
30069,train
710378,train
154815,train
734945,train
470975,train
265355,train
780736,train
86475,train
242454,train
24813,train
423760,train
66828,train
501023,train
47931,train
781603,train
335146,train
575500,train
669407,train
476866,train
732725,train
530538,train
590832,train
296807,train
211199,train
792225,train
317880,train
300829,train
779930,train
154552,train
343660,train
350933,train
129060,train
434306,train
150527,train
347814,train
754260,train
46552,train
111437,train
605450,train
630238,train
231765,train
547338,train
62598,train
507248,train
613299,train
680721,train
50867,train
200266,train
241987,train
149776,train
376082,train
344828,train
264893,train
43936,train
457074,train
533528,train
388846,train
146366,train
655090,train
278700,train
739698,train
515814,train
37563,train
267746,train
98769,train
39527,train
767411,train
157014,train
217191,train
608500,train
474719,train
637972,train
343283,train
261161,train
719719,train
629028,train
331890,train
410346,train
788315,train
177401,train
40443,train
144407,train
363562,train
585431,train
555810,train
350028,train
694422,train
551338,train
595946,train
705026,train
305171,train
165106,train
437211,train
30890,train
460328,train
62304,train
411669,train
629263,train
15236,train
479330,train
276311,train
239350,train
254835,train
283686,train
618111,train
104984,train
150541,train
104681,train
124452,train
598904,train
92310,train
777272,train
681675,train
32632,train
509801,train
665596,train
770362,train
39540,train
52501,train
102294,train
176634,train
625180,train
351917,train
338240,train
103174,train
437284,train
287802,train
597794,train
398018,train
35693,train
506581,train
488853,train
97443,train
156566,train
118142,train
328874,train
418168,train
616762,train
61347,train
762566,train
131172,train
118922,train
580060,train
570680,train
632242,train
752035,train
202939,train
585526,train
766091,train
274694,train
785067,train
548308,train
585662,train
512302,train
723109,train
57218,train
21642,train
686407,train
157982,train
260841,train
613351,train
108540,train
714442,train
639920,train
595462,train
416673,train
477710,train
703916,train
789609,train
183256,train
768298,train
597258,train
141645,train
760238,train
495956,train
733383,train
523497,train
598065,train
127805,train
691517,train
500852,train
378565,train
723418,train
77156,train
53844,train
777819,train
666112,train
101770,train
344912,train
391775,train
132303,train
695725,train
783451,train
260099,train
677046,train
313489,train
512515,train
351093,train
387428,train
674561,train
768641,train
324470,train
374900,train
85606,train
660361,train
143708,train
781455,train
253242,train
250551,train
196663,train
121283,train
13572,train
703508,train
767713,train
614166,train
316738,train
542631,train
371596,train
398566,train
325104,train
63229,train
672654,train
539714,train
