acc_base,accession,label,n_arg,n_highrisk,has_vf,length_bp,is_chromosome,replicons,n_housekeeping,S_ARG,n_vf,S_VF,S_SIZE,n_metal,S_BM,n_is,n_tn,S_MOB,S_REP,S_HOST,S_GEO,S_HAB,S_GROW,S_final,grade
AP038815,AP038815,high_risk,5,1,0,245609,False,IncHI2A;IncHI2;pKPC-CAV1321,0,0.756641376279689,0,0.0,0.974728756094472,22,0.814382860162688,18,5,0.114046716529117,0.9,0.76,0.0,0.0,0.0,0.580863362925101,B
AP038818,AP038818,high_risk,22,1,0,204226,False,IncHI2A;IncHI2;pKPC-CAV1321,0,1.0,0,0.0,0.965509070040806,14,0.703362697029958,16,5,0.115424088999442,0.9,0.76,0.0,0.0,0.0,0.615604298040891,A
AP038824,AP038824,high_risk,22,1,0,205339,False,IncHI2A;IncHI2;pKPC-CAV1321,0,1.0,0,0.0,0.965822110973674,14,0.703362697029958,16,5,0.115340485733348,0.9,0.76,0.0,0.0,0.0,0.615643832414944,A
AP039430,AP039430,high_risk,1,1,0,113772,False,IncFIB(pHCM2),0,0.415338279036697,0,0.0,0.910165433698937,0,0.0,2,0,0.102636852652674,0.9,0.76,0.227670248696953,0.0833333333333333,0.14016454749439,0.313898160301908,C
AP044704,AP044704,high_risk,19,2,0,164974,False,IncFIB(AP001918);IncN;IncFII(pRSB107);IncFIA,0,1.0,0,0.0,0.950789093990669,5,0.465374228362632,11,4,0.595,0.9,0.76,0.0,0.0,0.0,0.660561205223701,A
AP044710,AP044710,high_risk,11,1,0,140791,False,Col156;IncFIA;IncI1-I(Alpha),0,0.971979655316386,0,0.0,0.936184385932966,3,0.360062653313385,8,1,0.42,0.9,0.76,0.0,0.0,0.0,0.593101988977919,B
AP044716,AP044716,high_risk,18,2,1,193783,False,IncFIB(AP001918);IncFII(pRSB107);IncN;IncFIA,0,1.0,5,0.747221736309214,0.962340303919,11,0.645405555019324,16,2,0.595,0.9,0.76,0.0,0.0,0.0,0.782567782468126,A
AP045776,AP045776,high_risk,3,1,1,103807,False,IncN;IncFII(pHN7A8),0,0.630676558073393,1,0.289064826317888,0.896267322851639,1,0.25,7,0,0.595,0.9,0.76,0.0,0.0,0.0,0.546487758352384,B
AP045778,AP045778,high_risk,6,1,1,122974,False,IncFIB(AP001918);IncFIC(FII),0,0.804530977561084,10,1.0,0.920617608168047,7,0.540093979970078,8,2,0.436668518724303,0.9,0.76,0.0,0.0,0.0,0.700320740105047,A
AP045782,AP045782,high_risk,10,1,0,87315,False,IncY,0,0.944948051202489,0,0.0,0.864814884722755,10,0.622806063781382,10,1,0.118897096718777,0.9,0.76,0.0,0.0833333333333333,0.0,0.567800685536507,B
AP045784,AP045784,high_risk,2,1,1,91405,False,IncN;ColE10;IncFII(pHN7A8),0,0.541303097242993,1,0.289064826317888,0.873845340457825,1,0.25,3,0,0.595,0.9,0.76,0.0,0.0,0.0,0.5205552407243,B
AP045790,AP045790,high_risk,8,1,1,108535,False,IncX1;IncFII(pHN7A8),0,0.882606194485985,1,0.289064826317888,0.903243461792912,2,0.285342901705939,11,1,0.595,0.9,0.76,0.0,0.0,0.0,0.616885840107063,A
AP045794,AP045794,high_risk,3,1,1,95878,False,ColE10;IncN;IncFII(pHN7A8),0,0.630676558073393,1,0.289064826317888,0.882714516593653,1,0.25,3,0,0.595,0.9,0.76,0.0,0.0,0.0,0.54403741098094,B
AP045801,AP045801,high_risk,8,1,1,108536,False,IncFII(pHN7A8);IncX1,0,0.882606194485985,1,0.289064826317888,0.903244860590377,2,0.285342901705939,11,1,0.595,0.9,0.76,0.0,0.0,0.0,0.616886093009644,A
