id,replicon_primary,S_ARG,S_VF,S_MOB,S_HOST,S_REP,S_SIZE,S_BM,S_GEO,S_HAB,S_GROW
693844,,0.000000,0.000000,0.070000,0.720000,0.300000,0.461335,0.000000,0.000000,0.000000,0.000000
693845,,0.000000,0.000000,0.070000,0.720000,0.300000,0.461335,0.000000,0.000000,0.000000,0.000000
693846,,0.691284,0.000000,0.106738,0.760000,0.300000,0.597774,0.290000,0.360849,0.250000,0.501970
693847,Col440I,0.000000,0.000000,0.070000,0.720000,0.500000,0.561100,0.000000,0.000000,0.000000,0.000000
693848,,0.436151,0.000000,0.091079,0.720000,0.300000,0.588640,0.000000,0.000000,0.000000,0.000000
693849,,0.000000,0.390000,0.083549,0.780000,0.300000,0.690877,0.000000,0.000000,0.000000,0.000000
693850,IncFIB(AP001918),0.000000,0.000000,0.081635,0.760000,0.900000,0.674075,0.290000,0.455340,0.250000,0.284318
693851,,0.000000,0.000000,0.111385,0.720000,0.300000,0.589869,0.000000,0.000000,0.000000,0.000000
693852,IncI1,0.000000,0.000000,0.088072,0.720000,0.900000,0.598854,0.000000,0.000000,0.000000,0.000000
693853,,0.000000,0.000000,0.070000,0.720000,0.300000,0.503578,0.000000,0.000000,0.000000,0.000000
693854,,0.000000,0.000000,0.092358,0.720000,0.300000,0.584732,0.600000,0.000000,0.000000,0.000000
693855,,0.691284,0.000000,0.208997,0.720000,0.300000,0.582856,0.480000,0.000000,0.000000,0.000000
693856,,0.691284,0.000000,0.164876,0.720000,0.300000,0.650557,0.440000,0.000000,0.000000,0.000000
693857,Col440I,0.000000,0.000000,0.070000,0.720000,0.500000,0.520692,0.000000,0.000000,0.000000,0.000000
693858,IncFII(S),0.000000,0.690000,0.088908,0.780000,0.900000,0.702660,0.000000,0.000000,0.000000,0.000000
693859,Col156,0.000000,0.000000,0.420000,0.720000,0.500000,0.546147,0.000000,0.000000,0.000000,0.000000
693860,,0.691284,0.000000,0.166721,0.720000,0.300000,0.645809,0.440000,0.000000,0.000000,0.000000
693861,IncI1,0.000000,0.000000,0.087009,0.720000,0.900000,0.602879,0.000000,0.000000,0.000000,0.000000
693862,IncI1,0.000000,0.000000,0.087155,0.720000,0.900000,0.602312,0.000000,0.000000,0.000000,0.000000
693863,,0.691284,0.000000,0.087116,0.720000,0.300000,0.648459,0.000000,0.360849,0.000000,0.000000
693864,Col440I,0.000000,0.000000,0.070000,0.720000,0.500000,0.520692,0.000000,0.000000,0.000000,0.000000
693865,,0.691284,0.000000,0.166697,0.720000,0.300000,0.645868,0.440000,0.000000,0.000000,0.000000
693866,,0.872303,0.000000,0.130655,0.720000,0.300000,0.564500,0.000000,0.000000,0.000000,0.000000
693867,IncI2,0.000000,0.000000,0.070000,0.720000,0.900000,0.690193,0.000000,0.000000,0.000000,0.000000
693868,,0.000000,0.000000,0.070000,0.720000,0.300000,0.647317,0.000000,0.000000,0.000000,0.000000
693869,,0.436151,0.000000,0.102404,0.720000,0.300000,0.606103,0.000000,0.000000,0.000000,0.000000
693870,IncI1,0.000000,0.000000,0.087155,0.720000,0.900000,0.602312,0.000000,0.000000,0.000000,0.000000
693871,,0.691284,0.000000,0.165154,0.720000,0.300000,0.649819,0.440000,0.000000,0.000000,0.000000
693872,IncI1,0.000000,0.000000,0.102823,0.720000,0.900000,0.605251,0.000000,0.000000,0.000000,0.000000
693873,,0.000000,0.000000,0.104772,0.720000,0.300000,0.693422,0.290000,0.000000,0.000000,0.000000
693874,,0.000000,0.000000,0.070000,0.720000,0.300000,0.538822,0.000000,0.000000,0.000000,0.000000
693875,,0.436151,0.000000,0.091029,0.720000,0.300000,0.588798,0.000000,0.000000,0.000000,0.000000
693876,,0.000000,0.000000,0.078585,0.720000,0.300000,0.694247,0.330000,0.360849,0.083333,0.140165
693877,,0.000000,0.000000,0.084553,0.720000,0.300000,0.659228,0.000000,0.000000,0.000000,0.000000
693878,IncI1,0.000000,0.000000,0.087295,0.720000,0.900000,0.601771,0.000000,0.000000,0.000000,0.000000
693879,,0.000000,0.480000,0.070000,0.740000,0.300000,0.645971,0.000000,0.000000,0.000000,0.000000
693880,IncI1,0.000000,0.000000,0.087259,0.720000,0.900000,0.601909,0.000000,0.000000,0.000000,0.000000
693881,,0.000000,0.000000,0.070000,0.720000,0.300000,0.563458,0.000000,0.000000,0.000000,0.000000
693882,IncQ1,0.691284,0.000000,0.164495,0.720000,0.500000,0.651580,0.440000,0.000000,0.000000,0.000000
693883,IncFII(S),0.000000,0.690000,0.089147,0.780000,0.900000,0.701825,0.000000,0.000000,0.000000,0.000000
693884,Col156,0.000000,0.000000,0.070000,0.720000,0.500000,0.546147,0.000000,0.000000,0.000000,0.000000
693885,,0.000000,0.000000,0.070000,0.760000,0.300000,0.729698,0.290000,0.227670,0.083333,0.000000
693886,,0.000000,0.000000,0.070000,0.720000,0.300000,0.557695,0.000000,0.000000,0.000000,0.000000
693887,IncFII(S),0.000000,0.690000,0.088906,0.780000,0.900000,0.702665,0.000000,0.000000,0.000000,0.000000
693888,Col156,0.000000,0.000000,0.420000,0.720000,0.500000,0.546147,0.000000,0.000000,0.000000,0.000000
693889,,0.000000,0.000000,0.127826,0.760000,0.300000,0.613669,0.290000,0.227670,0.083333,0.000000
693890,,0.872303,0.000000,0.095920,0.720000,0.300000,0.620920,0.000000,0.000000,0.000000,0.000000
693891,IncI1,0.000000,0.000000,0.087319,0.720000,0.900000,0.601679,0.000000,0.000000,0.000000,0.000000
693892,IncQ1,0.691284,0.000000,0.186306,0.760000,0.500000,0.609321,0.440000,0.227670,0.083333,0.000000
693893,IncI1,0.000000,0.000000,0.101532,0.720000,0.900000,0.634820,0.290000,0.000000,0.000000,0.000000
693894,,0.000000,0.570000,0.081163,0.800000,0.300000,0.722826,0.290000,0.000000,0.000000,0.000000
693895,Col440I,0.000000,0.000000,0.070000,0.720000,0.500000,0.520692,0.000000,0.000000,0.000000,0.000000
693896,IncFII(S),0.000000,0.690000,0.088864,0.780000,0.900000,0.702816,0.000000,0.000000,0.000000,0.000000
693897,,0.000000,0.510000,0.078699,0.760000,0.300000,0.720284,0.290000,0.000000,0.000000,0.000000
693898,,0.000000,0.000000,0.070000,0.720000,0.300000,0.621712,0.000000,0.000000,0.000000,0.000000
693899,,0.000000,0.000000,0.420000,0.720000,0.300000,0.543530,0.000000,0.000000,0.000000,0.000000
693900,,0.000000,0.330000,0.096884,0.780000,0.300000,0.618496,0.450000,0.360849,0.416667,0.521067
693901,,0.000000,0.480000,0.070000,0.740000,0.300000,0.593338,0.000000,0.000000,0.000000,0.000000
693902,IncI1,0.000000,0.000000,0.087137,0.720000,0.900000,0.602380,0.000000,0.000000,0.000000,0.000000
693903,,1.000000,0.360000,0.149635,0.800000,0.300000,0.607240,0.410000,0.360849,0.166667,0.521067
693904,,0.000000,0.390000,0.084917,0.780000,0.300000,0.703584,0.290000,0.000000,0.000000,0.000000
693905,,0.000000,0.000000,0.070000,0.720000,0.300000,0.559311,0.000000,0.000000,0.000000,0.000000
693906,,0.436151,0.000000,0.103363,0.720000,0.300000,0.604168,0.000000,0.000000,0.000000,0.000000
693907,,0.000000,0.000000,0.070000,0.720000,0.300000,0.576697,0.000000,0.000000,0.000000,0.000000
693908,,0.436151,0.330000,0.070000,0.780000,0.300000,0.700312,0.450000,0.227670,0.000000,0.000000
